id,formula
1001,(1-#Life/#MaxLife)*120+100
1002,(1-#Life/#MaxLife)*140+100
1003,(1-#Life/#MaxLife)*160+100
1004,(1-#Life/#MaxLife)*180+100
1005,(1-#Life/#MaxLife)*200+100
1006,(1-#Life/#MaxLife)*220+100
1007,(1-#Life/#MaxLife)*240+100
1008,(1-#Life/#MaxLife)*260+100
1009,(1-#Life/#MaxLife)*280+100
1010,(1-#Life/#MaxLife)*300+100
1011,800+@buff5020*50
1012,@buff900=1?1:0
1013,@buff900=2?1:0
1014,@buff900=3?1:0
1015,@buff900=4?1:0
1016,@buff900=5?1:0
1017,350+@buff5020*50
1018,400+buff@5020*50
1019,450+buff@5020*50
1020,500+buff@5020*50
1021,550+buff@5020*50
1022,600+buff@5020*50
1023,650+buff@5020*50
1024,700+buff@5020*50
1025,750+buff@5020*50
1026,@Ap+@Defbreak
1027,@MaxLife
1028,@Life
1029,@Rate/120>1?1:0
1030,@def/@maxdef*100
1031,@maxdef
1032,@Ap
1033,@defbreak
1034,@shield
1035,@armor
1036,@rate
1037,@Critical
1038,@Pow
1039,((4+200/@Rate)*30-2-sbuffidtier(8585)*15)*(sbuffidtier(5244)>0?0.5:1)
1040,((4+200/@Rate)*30*(1-@buff899*0.3)-sbuffidtier(8585)*15>5?(4+200/@Rate)*30*(1-@buff899*0.3)-sbuffidtier(8585)*15:5)*(sbuffidtier(5244)>0?0.5:1)
1041,((4+200/@Rate)*30*(1-@buff899*0.3)-2-sbuffidtier(8585)*15>5?(4+200/@Rate)*30*(1-@buff899*0.3)-sbuffidtier(8585)*15:5)*(sbuffidtier(5244)>0?0.5:1)
1042,((4+200/@Rate)*30*(1-@buff900*0.15)-sbuffidtier(8585)*15>5?(4+200/@Rate)*30*(1-@buff900*0.15)-sbuffidtier(8585)*15:5)*(sbuffidtier(5244)>0?0.5:1)
1043,((4+200/@Rate)*30*(1-@buff900*0.15)-2-sbuffidtier(8585)*15>5?(4+200/@Rate)*30*(1-@buff900*0.15)-2-sbuffidtier(8585)*15:5)*(sbuffidtier(5244)>0?0.5:1)
1044,100+100/(1+@buff301)
1045,@MaxLife*0.3
1046,@MaxLife*0.15
1047,(@buff1366<(4+200/@Rate)*30?0:1)*(sbuffidtier(5244)>0?0.5:1)
1049,(@buff1366<(4+200/@Rate)*30*(1-@buff900*0.15)?0:1)*(sbuffidtier(5244)>0?0.5:1)
1051,@buff1366<120/(@Rate+10)*30?0:1
1052,@buff1377=2?1:0
1053,@buff1377=1?1:0
1054,@buff1377=0?1:0
1055,90+(@buff1385-1)*6
1056,9+@buff1385
1057,93+(@buff1385-1)*6
1058,96+(@buff1385-1)*6
1059,10+@buff1385
1060,#def>0?1:0
1061,(((4+200/@Rate)*30)*(1-@buff1407*0.2)-2-sbuffidtier(8585)*15>5?(4+200/@Rate)*30*(1-@buff1407*0.2)-sbuffidtier(8585)*15:5)*(sbuffidtier(5244)>0?0.5:1)
1062,(@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.2)-sbuffidtier(8585)*15?0:1)*(sbuffidtier(5244)>0?0.5:1)
1063,@buff1406=0?1:0
1064,@buff1406=1?1:0
1065,@buff1406=2?1:0
1066,@buff1406=3?1:0
1067,((4+200/@Rate)*30*(1-@buff1420*0.25)-2-sbuffidtier(8585)*15>5?(4+200/@Rate)*30*(1-@buff1420*0.25)-2-sbuffidtier(8585)*15:5)*(sbuffidtier(5244)>0?0.5:1)
1068,((4+200/@Rate)*30*(1-@buff1420*0.25)-sbuffidtier(8585)*15>5?(4+200/@Rate)*30*(1-@buff1420*0.25)-sbuffidtier(8585)*15:5)*(sbuffidtier(5244)>0?0.5:1)
1069,@buff1423=1?1:0
1070,@buff1423>1?1:0
1071,@Formation
1072,(@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.1)-sbuffidtier(8585)*15?0:1)*(sbuffidtier(5244)>0?0.5:1)
1073,(@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.11)-sbuffidtier(8585)*15?0:1)*(sbuffidtier(5244)>0?0.5:1)
1074,(@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.12)-sbuffidtier(8585)*15?0:1)*(sbuffidtier(5244)>0?0.5:1)
1075,(@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.13)-sbuffidtier(8585)*15?0:1)*(sbuffidtier(5244)>0?0.5:1)
1076,(@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.14)-sbuffidtier(8585)*15?0:1)*(sbuffidtier(5244)>0?0.5:1)
1077,(@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.16)-sbuffidtier(8585)*15?0:1)*(sbuffidtier(5244)>0?0.5:1)
1078,(@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.17)-sbuffidtier(8585)*15?0:1)*(sbuffidtier(5244)>0?0.5:1)
1079,(@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.18)-sbuffidtier(8585)*15?0:1)*(sbuffidtier(5244)>0?0.5:1)
1080,(@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.19)-sbuffidtier(8585)*15?0:1)*(sbuffidtier(5244)>0?0.5:1)
1081,@buff1406=4?1:0
1082,#armor>0?1:0
1083,@buff111=0?1:0
1084,@buff111=1?1:0
1085,@buff111=2?1:0
1086,@buff111=3?1:0
1087,@CriticalHurt
1088,@Critical*100
1090,200*(@buff1403/100+1)
1091,233*(@buff1403/100+1)
1092,267*(@buff1403/100+1)
1093,300*(@buff1403/100+1)
1094,333*(@buff1403/100+1)
1095,367*(@buff1403/100+1)
1096,400*(@buff1403/100+1)
1097,433*(@buff1403/100+1)
1098,467*(@buff1403/100+1)
1099,500*(@buff1403/100+1)
1100,80*(@buff1403/100+1)
1101,93*(@buff1403/100+1)
1102,107*(@buff1403/100+1)
1103,120*(@buff1403/100+1)
1104,133*(@buff1403/100+1)
1105,147*(@buff1403/100+1)
1106,160*(@buff1403/100+1)
1107,173*(@buff1403/100+1)
1108,187*(@buff1403/100+1)
1109,200*(@buff1403/100+1)
