"id","group","grade","name","description"
"1","2","11","career_quest_grade-10000001","career_quest_grade-20000001"
"2","2","12","career_quest_grade-10000002","career_quest_grade-20000002"
"3","2","20","career_quest_grade-10000003","career_quest_grade-20000003"
"4","2","21","career_quest_grade-10000004","career_quest_grade-20000004"
"5","2","22","career_quest_grade-10000005","career_quest_grade-20000005"
"6","2","30","career_quest_grade-10000006","career_quest_grade-20000006"
"7","2","31","career_quest_grade-10000007","career_quest_grade-20000007"
"8","2","32","career_quest_grade-10000008","career_quest_grade-20000008"
"9","2","40","career_quest_grade-10000009","career_quest_grade-20000009"
"10","2","41","career_quest_grade-10000010","career_quest_grade-20000010"
"11","2","42","career_quest_grade-10000011","career_quest_grade-20000011"
"12","2","50","career_quest_grade-10000012","career_quest_grade-20000012"
"13","2","51","career_quest_grade-10000013","career_quest_grade-20000013"
"14","2","52","career_quest_grade-10000014","career_quest_grade-20000014"
"15","2","60","career_quest_grade-10000015","career_quest_grade-20000015"
"16","2","61","career_quest_grade-10000016","career_quest_grade-20000016"
"17","3","11","career_quest_grade-10000017","career_quest_grade-20000017"
"18","3","21","career_quest_grade-10000018","career_quest_grade-20000018"
"19","3","31","career_quest_grade-10000019","career_quest_grade-20000019"
"20","3","41","career_quest_grade-10000020","career_quest_grade-20000020"
"21","3","51","career_quest_grade-10000021","career_quest_grade-20000021"
"22","3","61","career_quest_grade-10000022","career_quest_grade-20000022"
"23","4","11","career_quest_grade-10000023","career_quest_grade-20000023"
"24","4","21","career_quest_grade-10000024","career_quest_grade-20000024"
"25","4","31","career_quest_grade-10000025","career_quest_grade-20000025"
"26","4","41","career_quest_grade-10000026","career_quest_grade-20000026"
"27","4","51","career_quest_grade-10000027","career_quest_grade-20000027"
"28","4","61","career_quest_grade-10000028","career_quest_grade-20000028"
"29","5","11","career_quest_grade-10000029","career_quest_grade-20000029"
"30","5","21","career_quest_grade-10000030","career_quest_grade-20000030"
"31","5","31","career_quest_grade-10000031","career_quest_grade-20000031"
"32","5","41","career_quest_grade-10000032","career_quest_grade-20000032"
"33","5","51","career_quest_grade-10000033","career_quest_grade-20000033"
"34","5","61","career_quest_grade-10000034","career_quest_grade-20000034"
"35","6","11","career_quest_grade-10000035","career_quest_grade-20000035"
"36","6","21","career_quest_grade-10000036","career_quest_grade-20000036"
"37","6","31","career_quest_grade-10000037","career_quest_grade-20000037"
"38","6","41","career_quest_grade-10000038","career_quest_grade-20000038"
"39","6","51","career_quest_grade-10000039","career_quest_grade-20000039"
"40","6","61","career_quest_grade-10000040","career_quest_grade-20000040"
"41","8","11","career_quest_grade-10000041","career_quest_grade-20000041"
"42","8","21","career_quest_grade-10000042","career_quest_grade-20000042"
"43","8","31","career_quest_grade-10000043","career_quest_grade-20000043"
"44","8","41","career_quest_grade-10000044","career_quest_grade-20000044"
"45","8","51","career_quest_grade-10000045","career_quest_grade-20000045"
"46","8","61","career_quest_grade-10000046","career_quest_grade-20000046"
"47","9","11","career_quest_grade-10000047","career_quest_grade-20000047"
"48","9","21","career_quest_grade-10000048","career_quest_grade-20000048"
"49","9","31","career_quest_grade-10000049","career_quest_grade-20000049"
"50","9","41","career_quest_grade-10000050","career_quest_grade-20000050"
"51","9","51","career_quest_grade-10000051","career_quest_grade-20000051"
"52","9","61","career_quest_grade-10000052","career_quest_grade-20000052"
"53","10","11","career_quest_grade-10000053","career_quest_grade-20000053"
"54","10","21","career_quest_grade-10000054","career_quest_grade-20000054"
"55","10","31","career_quest_grade-10000055","career_quest_grade-20000055"
"56","10","41","career_quest_grade-10000056","career_quest_grade-20000056"
"57","10","51","career_quest_grade-10000057","career_quest_grade-20000057"
"58","10","61","career_quest_grade-10000058","career_quest_grade-20000058"
"59","11","11","career_quest_grade-10000059","career_quest_grade-20000059"
"60","11","21","career_quest_grade-10000060","career_quest_grade-20000060"
"61","11","31","career_quest_grade-10000061","career_quest_grade-20000061"
"62","11","41","career_quest_grade-10000062","career_quest_grade-20000062"
"63","11","51","career_quest_grade-10000063","career_quest_grade-20000063"
"64","11","61","career_quest_grade-10000064","career_quest_grade-20000064"
