"id","type","child_ids","title","title_code","sub_title","tutorial_manual_id","rank"
"100","1","101,102,103,104,105,106","tutorial_guide-10000100","guide_intermediate","tutorial_guide-20000100","0","0"
"101","2","","tutorial_guide-10000101","","tutorial_guide-20000101","202","5"
"102","2","","tutorial_guide-10000102","","tutorial_guide-20000102","203","5"
"103","2","","tutorial_guide-10000103","","tutorial_guide-20000103","204","5"
"104","2","","tutorial_guide-10000104","","tutorial_guide-20000104","206","4"
"105","2","","tutorial_guide-10000105","","tutorial_guide-20000105","208","3"
"106","2","","tutorial_guide-10000106","","tutorial_guide-20000106","1001","3"
"200","1","201,202","tutorial_guide-10000200","guide_basic","tutorial_guide-20000200","0","0"
"201","2","","tutorial_guide-10000201","","tutorial_guide-20000201","303","5"
"202","2","","tutorial_guide-10000202","","tutorial_guide-20000202","304","4"
"300","1","301,302","tutorial_guide-10000300","guide_advance","tutorial_guide-20000300","0","0"
"301","2","","tutorial_guide-10000301","","tutorial_guide-20000301","402","5"
"302","2","","tutorial_guide-10000302","","tutorial_guide-20000302","709","4"
"400","1","401,402,403","tutorial_guide-10000400","guide_higher","tutorial_guide-20000400","0","0"
"401","2","","tutorial_guide-10000401","","tutorial_guide-20000401","212","5"
"402","2","","tutorial_guide-10000402","","tutorial_guide-20000402","501","5"
"403","2","","tutorial_guide-10000403","","tutorial_guide-20000403","503","4"
"500","1","501,502,503,504","tutorial_guide-10000500","guide_skin","tutorial_guide-20000500","0","0"
"501","2","","tutorial_guide-10000501","","tutorial_guide-20000501","1103","4"
"502","2","","tutorial_guide-10000502","","tutorial_guide-20000502","1102","5"
"503","2","","tutorial_guide-10000503","","tutorial_guide-20000503","1104","4"
"504","2","","tutorial_guide-10000504","","tutorial_guide-20000504","1601","3"
"600","1","601","tutorial_guide-10000600","guide_social","tutorial_guide-20000600","0","0"
"601","2","","tutorial_guide-10000601","","tutorial_guide-20000601","1501","5"
"700","1","701,702,703","tutorial_guide-10000700","guide_casual","tutorial_guide-20000700","0","0"
"701","2","","tutorial_guide-10000701","","tutorial_guide-20000701","604","5"
"702","2","","tutorial_guide-10000702","","tutorial_guide-20000702","603","4"
"703","2","","tutorial_guide-10000703","","tutorial_guide-20000703","1701","5"
