id,campaign_id,tag,order,name,chapter_name,bg_code,bg_config,desc,scene_name,event_prize_level,rank_id
1,-2,normal_activity-10000001,2,normal_activity-20000001,normal_activity-30000001,active_hypothermia,#FFFFFFC7|#FFFFFF19|#B43939FF|#323232FF,normal_activity-40000001,,0,
2,-3,normal_activity-10000002,2,normal_activity-20000002,normal_activity-30000002,active_hypothermia,#FFFFFFC7|#FFFFFF19|#B43939FF|#323232FF,normal_activity-40000002,,0,
3,-4,normal_activity-10000003,2,normal_activity-20000003,normal_activity-30000003,active_hypothermia,#FFFFFFC7|#FFFFFF19|#B43939FF|#323232FF,normal_activity-40000003,,0,
4,-23,normal_activity-10000004,2,normal_activity-20000004,normal_activity-30000004,missionselect_Arctic2,,normal_activity-40000004,,10001,301
5,-6,normal_activity-10000005,1,normal_activity-20000005,normal_activity-30000005,active_cube,#000000C7|#00253A66|#114C67FF|#FFFFFFFF,normal_activity-40000005,,0,
6,-7,normal_activity-10000006,1,normal_activity-20000006,normal_activity-30000006,active_cube,#000000C7|#00253A66|#114C67FF|#FFFFFFFF,normal_activity-40000006,,0,
7,-10,normal_activity-10000007,3,normal_activity-20000007,normal_activity-30000007,active_depthmap,#000000C7|#00000033|#A3BD13FF|#FFFFFFFF,normal_activity-40000007,,0,
8,-11,normal_activity-10000008,3,normal_activity-20000008,normal_activity-30000008,active_depthmap,#000000C7|#00000033|#A3BD13FF|#FFFFFFFF,normal_activity-40000008,,0,
9,-12,normal_activity-10000009,3,normal_activity-20000009,normal_activity-30000009,active_depthmap,#000000C7|#00000033|#A3BD13FF|#FFFFFFFF,normal_activity-40000009,,0,
10,-29,normal_activity-10000010,3,normal_activity-20000010,normal_activity-30000010,missionselect_DeepDive_Re,,normal_activity-40000010,,10002,302
11,-16,normal_activity-10000011,4,normal_activity-20000011,normal_activity-30000011,active_collapse,#000000C7|#3D415166|#E64801|#FFFFFFFF,normal_activity-40000011,activitylogo,0,
12,-17,normal_activity-10000012,4,normal_activity-20000012,normal_activity-30000012,active_collapse,#000000C7|#3D415166|#E64801|#FFFFFFFF,normal_activity-40000012,activitylogo,0,
13,-18,normal_activity-10000013,4,normal_activity-20000013,normal_activity-30000013,active_collapse,#000000C7|#3D415166|#E64801|#FFFFFFFF,normal_activity-40000013,activitylogo,0,
14,-24,normal_activity-10000014,5,normal_activity-20000014,normal_activity-30000014,active_orderly,#000000C7|#3D415166|#FF5200|#FFFFFFFF,normal_activity-40000014,continuumturbulencelogo,0,
15,-25,normal_activity-10000015,5,normal_activity-20000015,normal_activity-30000015,active_orderly,#000000C7|#3D415166|#FF5200|#FFFFFFFF,normal_activity-40000015,continuumturbulencelogo,0,
16,-26,normal_activity-10000016,5,normal_activity-20000016,normal_activity-30000016,active_orderly,#000000C7|#3D415166|#FF5200|#FFFFFFFF,normal_activity-40000016,continuumturbulencelogo,0,
17,-28,normal_activity-10000017,5,normal_activity-20000017,normal_activity-30000017,active_orderly,#000000C7|#3D415166|#FF5200|#FFFFFFFF,normal_activity-40000017,continuumturbulencelogo,0,
18,-31,normal_activity-10000018,6,normal_activity-20000018,normal_activity-30000018,active_isomer,#000000C7|#3D415166|#E64801|#FFFFFFFF,normal_activity-40000018,isomerlogo,0,
19,-33,normal_activity-10000019,7,normal_activity-20000019,normal_activity-30000019,active_Reversible,#000000C7|#3D415166|#2B9487|#FFFFFFFF,normal_activity-40000019,Reversiblelogo,0,
20,-36,normal_activity-10000020,8,normal_activity-20000020,normal_activity-30000020,active_Polarizedlight,#000000C7|#3D415166|#D92B1A|#FFFFFFFF,normal_activity-40000020,Polarizedlightlogo,0,
21,-41,normal_activity-10000021,9,normal_activity-20000021,normal_activity-30000021,active_DualRandomness,#000000C7|#3D415166|#E64801|#FFFFFFFF,normal_activity-40000021,DualRandomnesslogo,0,
22,-44,normal_activity-10000022,10,normal_activity-20000022,normal_activity-30000022,active_mirrorstage,#000000C7|#3D415166|#A3BD13|#FFFFFFFF,normal_activity-40000022,mirrorstagelogo,0,
23,-48,normal_activity-10000023,11,normal_activity-20000023,normal_activity-30000023,active_PoincareRecurrence,#000000C7|#3D415166|#A3BD13|#FFFFFFFF,normal_activity-40000023,PoincareRecurrencelogo,0,
24,-34,normal_activity-10000024,101,normal_activity-20000024,normal_activity-30000024,active_19Halloween,#000000C7|#3D415166|#E66A01|#FFFFFFFF,normal_activity-40000024,,0,
25,-35,normal_activity-10000025,100,normal_activity-20000025,normal_activity-30000025,active_19Xmas,#000000C7|#3D415166|#D9531A|#FFFFFFFF,normal_activity-40000025,,0,
26,-37,normal_activity-10000026,101,normal_activity-20000026,normal_activity-30000026,active_WhiteDay2020,#000000C7|#3D415166|#E64801|#FFFFFFFF,normal_activity-40000026,active_WhiteDay2020logo,0,
27,-40,normal_activity-10000027,101,normal_activity-20000027,normal_activity-30000027,active_Bikini2020,#000000C7|#3D415166|#2975fd|#FFFFFFFF,normal_activity-40000027,,0,
28,-47,normal_activity-10000028,102,normal_activity-20000028,normal_activity-30000028,active_Bikini2021,#000000C7|#3D415166|#22d0ab|#FFFFFFFF,normal_activity-40000028,,0,
29,-39,normal_activity-10000029,4,normal_activity-20000029,normal_activity-30000029,missionselect_Sing_RE,,normal_activity-40000029,,10003,303
