id,sangvis_id,reward_type,single_num_weight
1001,1001,1,
3002,2001,3,
3003,2002,3,
3004,2003,3,
5005,3001,5,
5006,3002,5,
5007,3003,5,
5008,3004,5,
5009,3005,5,
5010,3007,5,
5011,3008,5,
12001,1001,1,
13002,2001,3,
13003,2002,3,
13004,2003,3,
15005,3001,5,
15006,3002,5,
15007,3003,5,
15008,3004,5,
15009,3005,5,
15010,3007,5,
15011,3008,5,
21001,1003,1,
23002,2001,3,
23003,2002,3,
23004,2003,3,
23005,2004,3,
23006,2006,3,
25007,3001,5,
25008,3002,5,
25009,3003,5,
25010,3004,5,
25011,3005,5,
25012,3007,5,
25013,3008,5,
31001,1004,1,
33002,2001,3,
33003,2002,3,
33004,2003,3,
33005,2004,3,
33006,2006,3,
33007,2005,3,
35008,3001,5,
35009,3002,5,
35010,3003,5,
35011,3004,5,
35012,3005,5,
35013,3007,5,
35014,3008,5,
35015,3006,5,
41001,1005,1,
43002,2001,3,
43003,2002,3,
43004,2003,3,
43005,2004,3,
43006,2006,3,
43007,2005,3,
43008,2008,3,
45009,3001,5,
45010,3002,5,
45011,3003,5,
45012,3004,5,
45013,3005,5,
45014,3007,5,
45015,3008,5,
45016,3006,5,
45017,3009,5,
51001,1006,1,
53002,2001,3,
53003,2002,3,
53004,2003,3,
53005,2004,3,
53006,2006,3,
53007,2005,3,
53008,2008,3,
53009,2009,3,
55010,3001,5,
55011,3002,5,
55012,3003,5,
55013,3004,5,
55014,3005,5,
55015,3007,5,
55016,3008,5,
55017,3006,5,
55018,3009,5,
61001,1007,1,
63002,2001,3,
63003,2002,3,
63004,2003,3,
63005,2004,3,
63006,2006,3,
63007,2005,3,
63008,2008,3,
63009,2009,3,
63010,2010,3,
65011,3001,5,
65012,3002,5,
65013,3003,5,
65014,3004,5,
65015,3005,5,
65016,3007,5,
65017,3008,5,
65018,3006,5,
65019,3009,5,
71001,1008,1,
73002,2001,3,
73003,2002,3,
73004,2003,3,
73005,2004,3,
73006,2006,3,
73007,2005,3,
73008,2008,3,
73009,2009,3,
73010,2010,3,
73011,2011,3,
75012,3001,5,
75013,3002,5,
75014,3003,5,
75015,3004,5,
75016,3005,5,
75017,3007,5,
75018,3008,5,
75019,3006,5,
75020,3009,5,
81001,1009,1,
83002,2001,3,
83003,2002,3,
83004,2003,3,
83005,2004,3,
83006,2006,3,
83007,2005,3,
83008,2008,3,
83009,2009,3,
83010,2010,3,
83011,2011,3,
83012,2012,3,
85013,3001,5,
85014,3002,5,
85015,3003,5,
85016,3004,5,
85017,3005,5,
85018,3007,5,
85019,3008,5,
85020,3006,5,
85021,3009,5,
91001,1010,1,
93002,2001,3,
93003,2002,3,
93004,2003,3,
93005,2004,3,
93006,2006,3,
93007,2005,3,
93008,2008,3,
93009,2009,3,
93010,2010,3,
93011,2011,3,
93012,2012,3,
95013,3001,5,
95014,3002,5,
95015,3003,5,
95016,3004,5,
95017,3005,5,
95018,3007,5,
95019,3008,5,
95020,3006,5,
95021,3009,5,
95022,3010,5,
9001001,1001,1,
9003002,2001,3,
9003003,2002,3,
9003004,2003,3,
9003005,2004,3,
9003006,2006,3,
9003007,2005,3,
9003008,2008,3,
9003009,2009,3,
9005010,3001,5,
9005011,3002,5,
9005012,3003,5,
9005013,3004,5,
9005014,3005,5,
9005015,3007,5,
9005016,3008,5,
9005017,3006,5,
9005018,3009,5,
10012001,1002,1,
10013002,2001,3,
10013003,2002,3,
10013004,2003,3,
10015005,3001,5,
10015006,3002,5,
10015007,3003,5,
10015008,3004,5,
10015009,3005,5,
10015010,3007,5,
10015011,3008,5,
