"id","story_campaign_id","name","chapter","type","game_chronicle","description","is_hide"
"1","0","story_playback-10000001","story_playback-20000001","1","","story_playback-30000001","0"
"2","1","story_playback-10000002","story_playback-20000002","1","","story_playback-30000002","0"
"3","2","story_playback-10000003","story_playback-20000003","1","","story_playback-30000003","0"
"4","3","story_playback-10000004","story_playback-20000004","1","","story_playback-30000004","0"
"5","4","story_playback-10000005","story_playback-20000005","1","","story_playback-30000005","0"
"6","5","story_playback-10000006","story_playback-20000006","1","","story_playback-30000006","0"
"7","-1","story_playback-10000007","story_playback-20000007","2","","story_playback-30000007","0"
"8","6","story_playback-10000008","story_playback-20000008","1","","story_playback-30000008","0"
"9","7","story_playback-10000009","story_playback-20000009","1","","story_playback-30000009","0"
"10","-2,-3,-4,-5","story_playback-10000010","story_playback-20000010","2","","story_playback-30000010","0"
"11","-7","story_playback-10000011","story_playback-20000011","2","","story_playback-30000011","0"
"12","8","story_playback-10000012","story_playback-20000012","1","","story_playback-30000012","0"
"13","-10,-11,-12,-13","story_playback-10000013","story_playback-20000013","2","","story_playback-30000013","0"
"14","9","story_playback-10000014","story_playback-20000014","1","","story_playback-30000014","0"
"15","10","story_playback-10000015","story_playback-20000015","1","","story_playback-30000015","0"
"16","-16,-17,-18","story_playback-10000016","story_playback-20000016","2","","story_playback-30000016","0"
"17","-24,-25,-26,-28","story_playback-10000017","story_playback-20000017","2","","story_playback-30000017","0"
"18","11","story_playback-10000018","story_playback-20000018","1","","story_playback-30000018","0"
"19","-31","story_playback-10000019","story_playback-20000019","2","","story_playback-30000019","0"
"20","-33","story_playback-10000020","story_playback-20000020","2","","story_playback-30000020","0"
"21","12","story_playback-10000021","story_playback-20000021","1","","story_playback-30000021","0"
"22","-36","story_playback-10000022","story_playback-20000022","2","","story_playback-30000022","0"
"23","13","story_playback-10000023","story_playback-20000023","1","","story_playback-30000023","0"
"24","-41","story_playback-10000024","story_playback-20000024","2","","story_playback-30000024","0"
"25","-44","story_playback-10000025","story_playback-20000025","2","","story_playback-30000025","0"
"26","-48","story_playback-10000026","story_playback-20000026","2","","story_playback-30000026","0"
"27","-51","story_playback-10000027","story_playback-20000027","2","","story_playback-30000027","0"
"28","-54","story_playback-10000028","story_playback-20000028","2","","story_playback-30000028","0"
"30","-34","story_playback-10000030","story_playback-20000030","3","","story_playback-30000030","0"
"31","-35","story_playback-10000031","story_playback-20000031","3","","story_playback-30000031","0"
"32","-37","story_playback-10000032","story_playback-20000032","3","","story_playback-30000032","0"
"33","-49","story_playback-10000033","story_playback-20000033","3","","story_playback-30000033","0"
"34","-56","story_playback-10000034","story_playback-20000034","3","","story_playback-30000034","0"
"35","-40","story_playback-10000035","story_playback-20000035","3","","story_playback-30000035","0"
"36","-47","story_playback-10000036","story_playback-20000036","3","","story_playback-30000036","0"
