id,name,character_des
100,unit_character-10000100,unit_character-20000100
101,unit_character-10000101,unit_character-20000101
102,unit_character-10000102,unit_character-20000102
103,unit_character-10000103,unit_character-20000103
104,unit_character-10000104,unit_character-20000104
105,unit_character-10000105,unit_character-20000105
200,unit_character-10000200,unit_character-20000200
201,unit_character-10000201,unit_character-20000201
202,unit_character-10000202,unit_character-20000202
203,unit_character-10000203,unit_character-20000203
204,unit_character-10000204,unit_character-20000204
205,unit_character-10000205,unit_character-20000205
206,unit_character-10000206,unit_character-20000206
207,unit_character-10000207,unit_character-20000207
208,unit_character-10000208,unit_character-20000208
209,unit_character-10000209,unit_character-20000209
210,unit_character-10000210,unit_character-20000210
211,unit_character-10000211,unit_character-20000211
212,unit_character-10000212,unit_character-20000212
213,unit_character-10000213,unit_character-20000213
214,unit_character-10000214,unit_character-20000214
215,unit_character-10000215,unit_character-20000215
216,unit_character-10000216,unit_character-20000216
300,unit_character-10000300,unit_character-20000300
301,unit_character-10000301,unit_character-20000301
302,unit_character-10000302,unit_character-20000302
303,unit_character-10000303,unit_character-20000303
304,unit_character-10000304,unit_character-20000304
305,unit_character-10000305,unit_character-20000305
306,unit_character-10000306,unit_character-20000306
307,unit_character-10000307,unit_character-20000307
308,unit_character-10000308,unit_character-20000308
309,unit_character-10000309,unit_character-20000309
310,unit_character-10000310,unit_character-20000310
311,unit_character-10000311,unit_character-20000311
312,unit_character-10000312,unit_character-20000312
313,unit_character-10000313,unit_character-20000313
314,unit_character-10000314,unit_character-20000314
315,unit_character-10000315,unit_character-20000315
316,unit_character-10000316,unit_character-20000316
317,unit_character-10000317,unit_character-20000317
318,unit_character-10000318,unit_character-20000318
319,unit_character-10000319,unit_character-20000319
320,unit_character-10000320,unit_character-20000320
321,unit_character-10000321,unit_character-20000321
322,unit_character-10000322,unit_character-20000322
323,unit_character-10000323,unit_character-20000323
324,unit_character-10000324,unit_character-20000324
325,unit_character-10000325,unit_character-20000325
326,unit_character-10000326,unit_character-20000326
327,unit_character-10000327,unit_character-20000327
328,unit_character-10000328,unit_character-20000328
329,unit_character-10000329,unit_character-20000329
330,unit_character-10000330,unit_character-20000330
331,unit_character-10000331,unit_character-20000331
332,unit_character-10000332,unit_character-20000332
333,unit_character-10000333,unit_character-20000333
334,unit_character-10000334,unit_character-20000334
335,unit_character-10000335,unit_character-20000335
336,unit_character-10000336,unit_character-20000336
337,unit_character-10000337,unit_character-20000337
338,unit_character-10000338,unit_character-20000338
339,unit_character-10000339,unit_character-20000339
340,unit_character-10000340,unit_character-20000340
341,unit_character-10000341,unit_character-20000341
401,unit_character-10000401,unit_character-20000401
402,unit_character-10000402,unit_character-20000402
403,unit_character-10000403,unit_character-20000403
404,unit_character-10000404,unit_character-20000404
405,unit_character-10000405,unit_character-20000405
406,unit_character-10000406,unit_character-20000406
407,unit_character-10000407,unit_character-20000407
408,unit_character-10000408,unit_character-20000408
409,unit_character-10000409,unit_character-20000409
410,unit_character-10000410,unit_character-20000410
411,unit_character-10000411,unit_character-20000411
412,unit_character-10000412,unit_character-20000412
413,unit_character-10000413,unit_character-20000413
414,unit_character-10000414,unit_character-20000414
415,unit_character-10000415,unit_character-20000415
416,unit_character-10000416,unit_character-20000416
417,unit_character-10000417,unit_character-20000417
418,unit_character-10000418,unit_character-20000418
419,unit_character-10000419,unit_character-20000419
420,unit_character-10000420,unit_character-20000420
421,unit_character-10000421,unit_character-20000421
422,unit_character-10000422,unit_character-20000422
423,unit_character-10000423,unit_character-20000423
424,unit_character-10000424,unit_character-20000424
425,unit_character-10000425,unit_character-20000425
426,unit_character-10000426,unit_character-20000426
427,unit_character-10000427,unit_character-20000427
428,unit_character-10000428,unit_character-20000428
429,unit_character-10000429,unit_character-20000429
430,unit_character-10000430,unit_character-20000430
431,unit_character-10000431,unit_character-20000431
432,unit_character-10000432,unit_character-20000432
433,unit_character-10000433,unit_character-20000433
434,unit_character-10000434,unit_character-20000434
435,unit_character-10000435,unit_character-20000435
436,unit_character-10000436,unit_character-20000436
437,unit_character-10000437,unit_character-20000437
438,unit_character-10000438,unit_character-20000438
439,unit_character-10000439,unit_character-20000439
440,unit_character-10000440,unit_character-20000440
441,unit_character-10000441,unit_character-20000441
442,unit_character-10000442,unit_character-20000442
443,unit_character-10000443,unit_character-20000443
444,unit_character-10000444,unit_character-20000444
445,unit_character-10000445,unit_character-20000445
446,unit_character-10000446,unit_character-20000446
447,unit_character-10000447,unit_character-20000447
448,unit_character-10000448,unit_character-20000448
900,unit_character-10000900,unit_character-20000900
901,unit_character-10000901,unit_character-20000901
902,unit_character-10000902,unit_character-20000902
903,unit_character-10000903,unit_character-20000903
904,unit_character-10000904,unit_character-20000904
905,unit_character-10000905,unit_character-20000905
906,unit_character-10000906,unit_character-20000906
907,unit_character-10000907,unit_character-20000907
908,unit_character-10000908,unit_character-20000908
909,unit_character-10000909,unit_character-20000909
910,unit_character-10000910,unit_character-20000910
911,unit_character-10000911,unit_character-20000911
1001,unit_character-10001001,unit_character-20001001
1002,unit_character-10001002,unit_character-20001002
1003,unit_character-10001003,unit_character-20001003
1004,unit_character-10001004,unit_character-20001004
1005,unit_character-10001005,unit_character-20001005
