id,type,quote_id,code
1,1,1,Letters/1
2,1,2,Letters/2
3,1,3,Letters/3
4,1,5,Letters/5
5,1,6,Letters/6
6,1,7,Letters/7
7,1,8,Letters/8
8,1,9,Letters/9
9,1,10,Letters/10
10,1,11,Letters/11
11,1,12,Letters/12
12,1,13,Letters/13
13,1,14,Letters/14
14,1,15,Letters/15
15,1,16,Letters/16
16,1,17,Letters/17
17,1,18,Letters/18
18,1,19,Letters/19
19,1,20,Letters/20
20,1,21,Letters/21
21,1,22,Letters/22
22,1,24,Letters/24
23,1,25,Letters/25
24,1,26,Letters/26
25,1,27,Letters/27
26,1,29,Letters/29
27,1,31,Letters/31
28,1,32,Letters/32
29,1,33,Letters/33
30,1,34,Letters/34
31,1,36,Letters/36
32,1,37,Letters/37
33,1,38,Letters/38
34,1,39,Letters/39
35,1,40,Letters/40
36,1,41,Letters/41
37,1,42,Letters/42
38,1,44,Letters/44
39,1,46,Letters/46
40,1,47,Letters/47
41,1,48,Letters/48
42,1,50,Letters/50
43,1,51,Letters/51
44,1,52,Letters/52
45,1,53,Letters/53
46,1,54,Letters/54
47,1,55,Letters/55
48,1,56,Letters/56
49,1,57,Letters/57
50,1,58,Letters/58
51,1,60,Letters/60
52,1,61,Letters/61
53,1,62,Letters/62
54,1,63,Letters/63
55,1,64,Letters/64
56,1,65,Letters/65
57,1,66,Letters/66
58,1,68,Letters/68
59,1,69,Letters/69
60,1,70,Letters/70
61,1,71,Letters/71
62,1,72,Letters/72
63,1,74,Letters/74
64,1,75,Letters/75
65,1,77,Letters/77
66,1,78,Letters/78
67,1,79,Letters/79
68,1,80,Letters/80
69,1,81,Letters/81
70,1,82,Letters/82
71,1,85,Letters/85
72,1,86,Letters/86
73,1,87,Letters/87
74,1,88,Letters/88
75,1,89,Letters/89
76,1,90,Letters/90
77,1,91,Letters/91
78,1,92,Letters/92
79,1,93,Letters/93
80,1,94,Letters/94
81,1,95,Letters/95
82,1,96,Letters/96
83,1,97,Letters/97
84,1,99,Letters/99
85,1,100,Letters/100
86,1,101,Letters/101
87,1,105,Letters/105
88,1,106,Letters/106
89,1,107,Letters/107
90,1,108,Letters/108
91,1,109,Letters/109
92,1,110,Letters/110
93,1,111,Letters/111
94,1,112,Letters/112
95,1,84,Letters/84
96,1,103,Letters/103
97,1,114,Letters/114
98,1,115,Letters/115
99,1,118,Letters/118
100,1,121,Letters/121
101,1,240,Letters/240
102,1,113,Letters/113
103,1,98,Letters/98
104,1,116,Letters/116
105,1,117,Letters/117
106,1,119,Letters/119
107,1,120,Letters/120
108,1,122,Letters/122
109,1,49,Letters/49
110,1,43,Letters/43
111,1,123,Letters/123
112,1,125,Letters/125
113,1,104,Letters/104
114,1,124,Letters/124
115,1,126,Letters/126
116,1,127,Letters/127
117,1,128,Letters/128
118,1,129,Letters/129
119,1,130,Letters/130
120,1,131,Letters/131
121,1,35,Letters/35
122,1,133,Letters/133
123,1,132,Letters/132
124,1,23,Letters/23
125,1,135,Letters/135
126,1,136,Letters/136
127,1,134,Letters/134
128,1,139,Letters/139
129,1,140,Letters/140
130,1,141,Letters/141
131,1,143,Letters/143
132,1,153,Letters/153
133,1,154,Letters/154
134,1,155,Letters/155
135,1,157,Letters/157
136,1,158,Letters/158
137,1,159,Letters/159
138,1,161,Letters/161
139,1,138,Letters/138
140,1,142,Letters/142
141,1,145,Letters/145
142,1,146,Letters/146
143,1,151,Letters/151
144,1,144,Letters/144
145,1,148,Letters/148
146,1,149,Letters/149
147,1,150,Letters/150
148,1,147,Letters/147
149,1,166,Letters/166
150,1,152,Letters/152
151,1,156,Letters/156
152,1,160,Letters/160
153,1,162,Letters/162
154,1,170,Letters/170
155,1,168,Letters/168
156,1,169,Letters/169
157,1,171,Letters/171
158,1,172,Letters/172
159,1,173,Letters/173
160,1,167,Letters/167
161,1,175,Letters/175
162,1,163,Letters/163
163,1,164,Letters/164
164,1,165,Letters/165
165,1,229,Letters/229
166,1,174,Letters/174
167,1,176,Letters/176
168,1,102,Letters/102
169,1,177,Letters/177
170,1,178,Letters/178
171,1,179,Letters/179
172,1,180,Letters/180
173,1,181,Letters/181
174,1,183,Letters/183
175,1,184,Letters/184
176,1,185,Letters/185
177,1,182,Letters/182
178,1,186,Letters/186
179,1,187,Letters/187
180,1,188,Letters/188
181,1,189,Letters/189
182,1,190,Letters/190
183,1,191,Letters/191
184,1,192,Letters/192
185,1,194,Letters/194
186,1,193,Letters/193
187,1,137,Letters/137
188,1,196,Letters/196
189,1,197,Letters/197
190,1,198,Letters/198
191,1,199,Letters/199
192,1,225,Letters/225
193,1,195,Letters/195
194,1,200,Letters/200
195,1,226,Letters/226
196,1,201,Letters/201
197,1,202,Letters/202
198,1,28,Letters/28
199,1,203,Letters/203
200,1,204,Letters/204
201,1,206,Letters/206
202,1,205,Letters/205
203,1,207,Letters/207
204,1,208,Letters/208
205,1,59,Letters/59
206,1,210,Letters/210
207,1,211,Letters/211
208,1,209,Letters/209
209,1,212,Letters/212
210,1,213,Letters/213
211,1,215,Letters/215
212,1,216,Letters/216
213,1,217,Letters/217
214,1,227,Letters/227
215,1,73,Letters/73
216,1,218,Letters/218
217,1,221,Letters/221
218,1,222,Letters/222
219,1,231,Letters/231
220,1,220,Letters/220
221,1,224,Letters/224
222,1,223,Letters/223
223,1,4,Letters/4
224,1,230,Letters/230
225,1,233,Letters/233
226,1,235,Letters/235
227,1,236,Letters/236
228,1,237,Letters/237
229,1,238,Letters/238
230,1,232,Letters/232
231,1,234,Letters/234
232,1,239,Letters/239
233,1,241,Letters/241
234,1,228,Letters/228
235,1,243,Letters/243
236,1,245,Letters/245
237,1,247,Letters/247
238,1,248,Letters/248
239,1,242,Letters/242
240,1,250,Letters/250
241,1,251,Letters/251
242,1,252,Letters/252
243,1,253,Letters/253
244,1,254,Letters/254
245,1,249,Letters/249
246,1,244,Letters/244
247,1,255,Letters/255
248,1,256,Letters/256
249,1,259,Letters/259
250,1,258,Letters/258
251,1,260,Letters/260
252,1,257,Letters/257
253,1,261,Letters/261
254,1,262,Letters/262
255,1,263,Letters/263
256,1,264,Letters/264
257,1,266,Letters/266
258,1,265,Letters/265
259,1,267,Letters/267
260,1,214,Letters/214
261,1,269,Letters/269
262,1,270,Letters/270
263,1,268,Letters/268
264,1,272,Letters/272
265,1,273,Letters/273
266,1,274,Letters/274
267,1,275,Letters/275
268,1,276,Letters/276
269,1,271,Letters/271
270,1,277,Letters/277
271,1,278,Letters/278
272,1,281,Letters/281
273,1,282,Letters/282
274,1,283,Letters/283
275,1,279,Letters/279
276,1,280,Letters/280
277,1,284,Letters/284
278,1,285,Letters/285
279,1,286,Letters/286
280,1,287,Letters/287
281,1,288,Letters/288
282,1,289,Letters/289
283,1,294,Letters/294
284,1,295,Letters/295
285,1,296,Letters/296
286,1,293,Letters/293
287,1,297,Letters/297
288,1,292,Letters/292
289,1,291,Letters/291
290,1,290,Letters/290
291,1,298,Letters/298
292,1,299,Letters/299
293,1,300,Letters/300
294,1,303,Letters/303
295,1,304,Letters/304
296,1,305,Letters/305
297,1,306,Letters/306
298,1,307,Letters/307
299,1,302,Letters/302
300,1,301,Letters/301
301,1,308,Letters/308
302,1,309,Letters/309
303,1,311,Letters/311
304,1,310,Letters/310
305,1,312,Letters/312
306,1,313,Letters/313
307,1,315,Letters/315
308,1,316,Letters/316
309,1,317,Letters/317
310,1,318,Letters/318
311,1,319,Letters/319
312,1,314,Letters/314
313,1,320,Letters/320
314,1,321,Letters/321
315,1,323,Letters/323
316,1,324,Letters/324
317,1,325,Letters/325
318,1,326,Letters/326
319,1,322,Letters/322
320,1,327,Letters/327
321,1,328,Letters/328
322,1,329,Letters/329
323,1,330,Letters/330
324,1,331,Letters/331
325,1,332,Letters/332
326,1,333,Letters/333
327,1,334,Letters/334
328,1,335,Letters/335
329,1,336,Letters/336
330,1,337,Letters/337
331,1,338,Letters/338
332,1,339,Letters/339
333,1,340,Letters/340
334,1,341,Letters/341
335,1,342,Letters/342
336,1,343,Letters/343
337,1,344,Letters/344
338,1,345,Letters/345
339,1,346,Letters/346
340,1,347,Letters/347
341,1,348,Letters/348
342,1,349,Letters/349
343,1,350,Letters/350
344,1,351,Letters/351
345,1,352,Letters/352
346,1,353,Letters/353
347,1,354,Letters/354
348,1,355,Letters/355
349,1,356,Letters/356
350,1,357,Letters/357
351,1,358,Letters/358
352,1,359,Letters/359
353,1,360,Letters/360
354,1,361,Letters/361
355,1,362,Letters/362
356,1,363,Letters/363
357,1,364,Letters/364
358,1,365,Letters/365
359,1,366,Letters/366
360,1,367,Letters/367
361,1,368,Letters/368
362,1,369,Letters/369
363,1,370,Letters/370
364,1,371,Letters/371
365,1,372,Letters/372
366,1,373,Letters/373
367,1,374,Letters/374
368,1,375,Letters/375
369,1,376,Letters/376
370,1,377,Letters/377
371,1,378,Letters/378
372,1,379,Letters/379
373,1,380,Letters/380
374,1,381,Letters/381
375,1,382,Letters/382
376,1,383,Letters/383
377,1,384,Letters/384
378,1,385,Letters/385
379,1,386,Letters/386
380,1,387,Letters/387
381,2,1001,Letters/s_1001
382,2,1002,Letters/s_1002
383,2,1003,Letters/s_1003
384,2,1004,Letters/s_1004
385,2,1005,Letters/s_1005
386,2,1006,Letters/s_1006
387,2,1007,Letters/s_1007
388,2,1008,Letters/s_1008
389,2,1009,Letters/s_1009
390,2,1010,Letters/s_1010
391,2,1011,Letters/s_1011
392,2,1012,Letters/s_1012
393,2,1013,Letters/s_1013
394,2,1014,Letters/s_1014
395,2,1019,Letters/s_1019
396,2,1024,Letters/s_1024
397,2,1025,Letters/s_1025
398,3,-1,Letters/-1
399,3,-4,Letters/-4
400,3,-5,Letters/-5
401,3,-6,Letters/-6
402,3,-7,Letters/-7
403,3,-8,Letters/-8
404,3,-9,Letters/-9
405,3,-10,Letters/-10
406,3,-11,Letters/-11
407,3,-12,Letters/-12
408,3,-18,Letters/-18
409,3,-23,Letters/-23
410,2,1022,Letters/s_1022
411,0,0,Letters/default_279|Letters/default_322|Letters/default_322
