id,name,carnival_goto_page_id,function_control_id,fetter_story_id
1,item_access-10000001,-1,0,0
2,item_access-10000002,0,0,0
3,item_access-10000003,0,0,0
4,item_access-10000004,41,0,0
5,item_access-10000005,254,0,0
6,item_access-10000006,217,17,0
7,item_access-10000007,63,0,0
8,item_access-10000008,202,15,0
9,item_access-10000009,202,15,0
10,item_access-10000010,203,15,0
11,item_access-10000011,251,0,0
12,item_access-10000012,358,0,0
13,item_access-10000013,359,6,0
14,item_access-10000014,360,12,0
15,item_access-10000015,207,11,0
16,item_access-10000016,205,0,0
17,item_access-10000017,66,0,0
18,item_access-10000018,0,0,0
19,item_access-10000019,230,21,0
20,item_access-10000020,232,21,0
21,item_access-10000021,12,0,0
22,item_access-10000022,224,21,0
23,item_access-10000023,0,0,0
24,item_access-10000024,356,0,0
25,item_access-10000025,357,0,0
26,item_access-10000026,0,0,3
27,item_access-10000027,0,0,4
28,item_access-10000028,0,0,0
29,item_access-10000029,0,0,0
30,item_access-10000030,25,0,0
31,item_access-10000031,25,0,0
32,item_access-10000032,0,15,0
33,item_access-10000033,385,0,0
