id,type,mission_campaign,event_name,draw_event_id,start_time,end_time,init_mission_id,function_control_id,open_mission,open_time,mission_event_opentime_white_list,token_item_id
1,2,-2|-3|-4,mission_event-10000001,,,,10005,,,,,
2,2,-6|-7,mission_event-10000002,,,,10018,,,,,
3,2,-10|-11|-12,mission_event-10000003,,,,10030,,,,,
4,2,-16|-17|-18,mission_event-10000004,,,,10092,,,,,
5,2,-24|-25|-26|-28,mission_event-10000005,,,,10156,,,,,
6,2,-31,mission_event-10000006,,,,10194,,,,,
7,2,-33,mission_event-10000007,,,,10294,,,,,
8,2,-36,mission_event-10000008,,,,10426,,,,,
12,2,-10000,mission_event-10000012,,,,10934,,,,,
13,2,-10001,mission_event-10000013,,,,10913,,,,,
14,2,-10002,mission_event-10000014,,,,10925,,,,,
15,2,-10003,mission_event-10000015,,,,10928,,,,,
16,2,-10004,mission_event-10000016,,,,11001,,,,,
17,2,-10005,mission_event-10000017,,,,10915,,,,,
18,2,-37,mission_event-10000018,,,,10481,,,,,
19,1,-51,mission_event-10000019,400|401|402|403|404,2023-01-15,2023-02-13 23:59:59,11011,,,,,
20,2,-50,mission_event-10000020,,,,11083,,,,,
21,2,-41,mission_event-10000021,,,,10528,,,,,
22,1,-53,mission_event-10000022,400|401|402|403|404,2023-11-21,2023-12-04 23:59:59,11116,,,,,
24,1,-47,mission_event-10000024,400|401|402|403|404,2023-07-18,2023-07-31 23:59:59,10780,,,,,
25,1,-52,mission_event-10000025,400|401|402|403|404,2023-08-29,2023-09-18 23:59:59,11098,,,,,
26,1,-54,mission_event-10000026,400|401|402|403|404,2023-08-01,2023-08-28 23:59:59,11166,,,,,
27,2,-42,mission_event-10000027,,,,10588,,,,,
28,2,-34,mission_event-10000028,,,,10381,,,,,
30,1,-55,mission_event-10000030,400|401|402|403|404,2024-02-06,2024-02-19 23:59:59,11320,,,,,
31,1,-56,mission_event-10000031,400|401|402|403|404,2023-06-07,2023-07-03 23:59:59,11243,,,,,
32,2,-35,mission_event-10000032,,,,10385,,,,,
33,2,-49,mission_event-10000033,,,,10988,,,,,
34,1,-59,mission_event-10000034,400|401|402|403|404,2024-07-02,2024-07-22 23:59:59,11321,,,,,
35,1,-57,mission_event-10000035,400|401|402|403|404,2023-05-09,2023-05-29 23:59:59,11261,,,,,
36,1,-58,mission_event-10000036,400|401|402|403|404,2023-12-26,2024-01-22 23:59:59,11333,,,,,
37,1,-60,mission_event-10000037,400|401|402|403|404,2024-10-15,2024-10-28 23:59:59,11435,,,,,
38,2,-40,mission_event-10000038,,,,10504,,,,,
39,1,-61,mission_event-10000039,400|401|402|403|404,2024-09-24,2024-10-14 23:59:59,11436,,,,,
40,2,-10006,mission_event-10000040,,,,11484|11485,,,,,
41,2,-23,mission_event-10000041,,,,10105,,,,,
44,2,-29,mission_event-10000044,,,,10158,,,,,
46,2,-39,mission_event-10000046,,,,10508,,,,,
48,1,-64,mission_event-10000048,400|401|402|403|404,2024-05-14,2024-06-03 23:59:59,11499,,,,,
49,1,-68,mission_event-10000049,400|401|402|403|404,2024-08-06,2024-08-26 23:59:59,11631,,,,,
52,1,-69,mission_event-10000052,400|401|402|403|404,2024-10-29,2024-11-18 23:59:59,11670,,,,,
54,1,-70,mission_event-10000054,400|401|402|403|404,2024-12-24,2025-01-13 23:59:59,11712,,,,,
55,1,-71,mission_event-10000055,400|401|402|403|404,2025-02-18,2025-03-10 23:59:59,11730,,,,,
56,1,-72,mission_event-10000056,400|401|402|403|404,2025-04-29,2025-05-19 23:59:59,11762,,,,,100243
58,1,-73,mission_event-10000058,400|401|402|403|404,2025-05-27,2025-06-16 23:59:59,11811,,,,,100247
10001,2,-44,mission_event-10010001,,,,10632,,,,,
10004,2,-48,mission_event-10010004,,,,10799,,,,,
10006,1,-45,mission_event-10010006,400|401|402|403|404,2023-04-04,2023-04-17 23:59:59,10766,,,,,
