"id","fight_environment_skill_id","description","balance_out","round_duration","battle_duration","delay"
"101","12020101","daily_event_option-10000101","1","-1","-1","0"
"102","12020201","daily_event_option-10000102","1","-1","-1","0"
"103","12020101","daily_event_option-10000103","1","-1","-1","0"
"104","12020201","daily_event_option-10000104","1","-1","-1","0"
"105","12020101","daily_event_option-10000105","1","-1","-1","0"
"106","12020201","daily_event_option-10000106","1","-1","-1","0"
"107","12020101","daily_event_option-10000107","1","-1","-1","0"
"108","12020201","daily_event_option-10000108","1","-1","-1","0"
"201","12020301","daily_event_option-10000201","1","-1","-1","0"
"202","12020401","daily_event_option-10000202","1","-1","-1","0"
"203","12020301","daily_event_option-10000203","1","-1","-1","0"
"204","12020401","daily_event_option-10000204","1","-1","-1","0"
"205","12020301","daily_event_option-10000205","1","-1","-1","0"
"206","12020401","daily_event_option-10000206","1","-1","-1","0"
"207","12020301","daily_event_option-10000207","1","-1","-1","0"
"208","12020401","daily_event_option-10000208","1","-1","-1","0"
"209","12020301","daily_event_option-10000209","1","-1","-1","0"
"210","12020401","daily_event_option-10000210","1","-1","-1","0"
"301","12020501","daily_event_option-10000301","1","-1","-1","0"
"302","12020601","daily_event_option-10000302","1","-1","-1","0"
"303","12020501","daily_event_option-10000303","1","-1","-1","0"
"304","12020601","daily_event_option-10000304","1","-1","-1","0"
"305","12020501","daily_event_option-10000305","1","-1","-1","0"
"306","12020601","daily_event_option-10000306","1","-1","-1","0"
"307","12020501","daily_event_option-10000307","1","-1","-1","0"
"308","12020601","daily_event_option-10000308","1","-1","-1","0"
"401","12021501","daily_event_option-10000401","1","-1","-1","0"
"402","12021601","daily_event_option-10000402","1","-1","-1","0"
"403","12021501","daily_event_option-10000403","1","-1","-1","0"
"404","12021601","daily_event_option-10000404","1","-1","-1","0"
"405","12021501","daily_event_option-10000405","1","-1","-1","0"
"406","12021601","daily_event_option-10000406","1","-1","-1","0"
"501","12020901","daily_event_option-10000501","1","-1","-1","0"
"502","12021001","daily_event_option-10000502","1","-1","-1","0"
"503","12020901","daily_event_option-10000503","1","-1","-1","0"
"504","12021001","daily_event_option-10000504","1","-1","-1","0"
"505","12020901","daily_event_option-10000505","1","-1","-1","0"
"506","12021001","daily_event_option-10000506","1","-1","-1","0"
"601","12022101","daily_event_option-10000601","1","-1","-1","0"
"602","12022201","daily_event_option-10000602","1","-1","-1","0"
"603","12022101","daily_event_option-10000603","1","-1","-1","0"
"604","12022201","daily_event_option-10000604","1","-1","-1","0"
"605","12022101","daily_event_option-10000605","1","-1","-1","0"
"606","12022201","daily_event_option-10000606","1","-1","-1","0"
"701","12021901","daily_event_option-10000701","1","-1","-1","0"
"702","12022001","daily_event_option-10000702","1","-1","-1","0"
"703","12021901","daily_event_option-10000703","1","-1","-1","0"
"704","12022001","daily_event_option-10000704","1","-1","-1","0"
"705","12021901","daily_event_option-10000705","1","-1","-1","0"
"706","12022001","daily_event_option-10000706","1","-1","-1","0"
"801","12022301","daily_event_option-10000801","1","-1","-1","0"
"802","12022401","daily_event_option-10000802","1","-1","-1","0"
"803","12022301","daily_event_option-10000803","1","-1","-1","0"
"804","12022401","daily_event_option-10000804","1","-1","-1","0"
"805","12022301","daily_event_option-10000805","1","-1","-1","0"
"806","12022401","daily_event_option-10000806","1","-1","-1","0"
"901","12020701","daily_event_option-10000901","1","-1","-1","0"
"902","12020801","daily_event_option-10000902","1","-1","-1","0"
"903","12020701","daily_event_option-10000903","1","-1","-1","0"
"904","12020801","daily_event_option-10000904","1","-1","-1","0"
"905","12020701","daily_event_option-10000905","1","-1","-1","0"
"906","12020801","daily_event_option-10000906","1","-1","-1","0"
"1001","12021101","daily_event_option-10001001","1","-1","-1","0"
"1002","12021201","daily_event_option-10001002","1","-1","-1","0"
"1003","12021101","daily_event_option-10001003","1","-1","-1","0"
"1004","12021201","daily_event_option-10001004","1","-1","-1","0"
"1005","12021101","daily_event_option-10001005","1","-1","-1","0"
"1006","12021201","daily_event_option-10001006","1","-1","-1","0"
"1101","12021701","daily_event_option-10001101","1","-1","-1","0"
"1102","12021801","daily_event_option-10001102","1","-1","-1","0"
"1103","12021701","daily_event_option-10001103","1","-1","-1","0"
"1104","12021801","daily_event_option-10001104","1","-1","-1","0"
"1105","12021701","daily_event_option-10001105","1","-1","-1","0"
"1106","12021801","daily_event_option-10001106","1","-1","-1","0"
"1201","12021301","daily_event_option-10001201","1","-1","-1","0"
"1202","12021401","daily_event_option-10001202","1","-1","-1","0"
"1203","12021301","daily_event_option-10001203","1","-1","-1","0"
"1204","12021401","daily_event_option-10001204","1","-1","-1","0"
"1205","12021301","daily_event_option-10001205","1","-1","-1","0"
"1206","12021401","daily_event_option-10001206","1","-1","-1","0"
"1301","12022501","daily_event_option-10001301","1","-1","-1","0"
"1302","12022501","daily_event_option-10001302","1","-1","-1","0"
"1401","12022601","daily_event_option-10001401","1","-1","-1","0"
"1402","12022601","daily_event_option-10001402","1","-1","-1","0"
"1501","12022701","daily_event_option-10001501","1","-1","-1","0"
"1502","12022701","daily_event_option-10001502","1","-1","-1","0"
"1601","12022801","daily_event_option-10001601","1","-1","-1","0"
"1701","12022901","daily_event_option-10001701","1","-1","-1","0"
"1702","12022901","daily_event_option-10001702","1","-1","-1","0"
"1801","12023001","daily_event_option-10001801","1","-1","-1","0"
"1901","12023301","daily_event_option-10001901","1","-1","-1","0"
"2001","12023201","daily_event_option-10002001","1","-1","-1","0"
"2002","12023201","daily_event_option-10002002","1","-1","-1","0"
