id	tag	tag_type	description	is_show
101	gun_tag-10000101	1	gun_tag-20000101	1
102	gun_tag-10000102	1	gun_tag-20000102	1
103	gun_tag-10000103	1	gun_tag-20000103	1
104	gun_tag-10000104	1	gun_tag-20000104	1
105	gun_tag-10000105	1	gun_tag-20000105	1
106	gun_tag-10000106	1	gun_tag-20000106	1
107	gun_tag-10000107	1	gun_tag-20000107	1
108	gun_tag-10000108	1	gun_tag-20000108	1
109	gun_tag-10000109	1	gun_tag-20000109	1
110	gun_tag-10000110	1	gun_tag-20000110	1
111	gun_tag-10000111	1	gun_tag-20000111	1
112	gun_tag-10000112	1	gun_tag-20000112	1
113	gun_tag-10000113	1	gun_tag-20000113	1
114	gun_tag-10000114	1	gun_tag-20000114	1
115	gun_tag-10000115	1	gun_tag-20000115	1
116	gun_tag-10000116	1	gun_tag-20000116	1
117	gun_tag-10000117	1	gun_tag-20000117	1
118	gun_tag-10000118	1	gun_tag-20000118	1
119	gun_tag-10000119	1	gun_tag-20000119	1
120	gun_tag-10000120	1	gun_tag-20000120	1
121	gun_tag-10000121	1	gun_tag-20000121	1
122	gun_tag-10000122	1	gun_tag-20000122	1
123	gun_tag-10000123	1	gun_tag-20000123	1
124	gun_tag-10000124	1	gun_tag-20000124	1
125	gun_tag-10000125	1	gun_tag-20000125	1
126	gun_tag-10000126	1	gun_tag-20000126	1
127	gun_tag-10000127	1	gun_tag-20000127	1
128	gun_tag-10000128	1	gun_tag-20000128	1
129	gun_tag-10000129	1	gun_tag-20000129	1
130	gun_tag-10000130	1	gun_tag-20000130	1
131	gun_tag-10000131	1	gun_tag-20000131	1
132	gun_tag-10000132	1	gun_tag-20000132	1
133	gun_tag-10000133	1	gun_tag-20000133	1
134	gun_tag-10000134	1	gun_tag-20000134	1
135	gun_tag-10000135	1	gun_tag-20000135	1
136	gun_tag-10000136	1	gun_tag-20000136	1
137	gun_tag-10000137	1	gun_tag-20000137	1
138	gun_tag-10000138	1	gun_tag-20000138	1
139	gun_tag-10000139	1	gun_tag-20000139	1
140	gun_tag-10000140	1	gun_tag-20000140	1
141	gun_tag-10000141	1	gun_tag-20000141	1
142	gun_tag-10000142	1	gun_tag-20000142	1
143	gun_tag-10000143	1	gun_tag-20000143	1
144	gun_tag-10000144	1	gun_tag-20000144	1
145	gun_tag-10000145	1	gun_tag-20000145	1
146	gun_tag-10000146	1	gun_tag-20000146	1
147	gun_tag-10000147	1	gun_tag-20000147	1
148	gun_tag-10000148	1	gun_tag-20000148	1
149	gun_tag-10000149	1	gun_tag-20000149	1
150	gun_tag-10000150	1	gun_tag-20000150	1
151	gun_tag-10000151	1	gun_tag-20000151	1
152	gun_tag-10000152	1	gun_tag-20000152	1
153	gun_tag-10000153	1	gun_tag-20000153	1
154	gun_tag-10000154	1	gun_tag-20000154	1
155	gun_tag-10000155	1	gun_tag-20000155	1
156	gun_tag-10000156	1	gun_tag-20000156	1
157	gun_tag-10000157	1	gun_tag-20000157	1
158	gun_tag-10000158	1	gun_tag-20000158	1
159	gun_tag-10000159	1	gun_tag-20000159	1
160	gun_tag-10000160	1	gun_tag-20000160	1
161	gun_tag-10000161	1	gun_tag-20000161	1
162	gun_tag-10000162	1	gun_tag-20000162	1
163	gun_tag-10000163	1	gun_tag-20000163	1
164	gun_tag-10000164	1	gun_tag-20000164	1
165	gun_tag-10000165	1	gun_tag-20000165	1
166	gun_tag-10000166	1	gun_tag-20000166	1
10101	gun_tag-10010101	1	gun_tag-20010101	1
10102	gun_tag-10010102	1	gun_tag-20010102	1
10103	gun_tag-10010103	1	gun_tag-20010103	1
10104	gun_tag-10010104	1	gun_tag-20010104	1
10105	gun_tag-10010105	1	gun_tag-20010105	1
10106	gun_tag-10010106	1	gun_tag-20010106	1
10107	gun_tag-10010107	1	gun_tag-20010107	1
10108	gun_tag-10010108	1	gun_tag-20010108	1
10109	gun_tag-10010109	1	gun_tag-20010109	1
10110	gun_tag-10010110	1	gun_tag-20010110	1
10111	gun_tag-10010111	1	gun_tag-20010111	1
10112	gun_tag-10010112	1	gun_tag-20010112	1
10113	gun_tag-10010113	1	gun_tag-20010113	1
10114	gun_tag-10010114	1	gun_tag-20010114	1
10115	gun_tag-10010115	1	gun_tag-20010115	1
10116	gun_tag-10010116	1	gun_tag-20010116	1
10117	gun_tag-10010117	1	gun_tag-20010117	1
10118	gun_tag-10010118	1	gun_tag-20010118	1
10119	gun_tag-10010119	1	gun_tag-20010119	1
10120	gun_tag-10010120	1	gun_tag-20010120	1
10121	gun_tag-10010121	1	gun_tag-20010121	1
10122	gun_tag-10010122	1	gun_tag-20010122	1
10123	gun_tag-10010123	1	gun_tag-20010123	1
10124	gun_tag-10010124	1	gun_tag-20010124	1
10125	gun_tag-10010125	1	gun_tag-20010125	1
10126	gun_tag-10010126	1	gun_tag-20010126	1
10127	gun_tag-10010127	1	gun_tag-20010127	1
10128	gun_tag-10010128	1	gun_tag-20010128	1
10129	gun_tag-10010129	1	gun_tag-20010129	1
10130	gun_tag-10010130	1	gun_tag-20010130	1
10131	gun_tag-10010131	1	gun_tag-20010131	1
10132	gun_tag-10010132	1	gun_tag-20010132	1
10133	gun_tag-10010133	1	gun_tag-20010133	1
10134	gun_tag-10010134	1	gun_tag-20010134	1
10135	gun_tag-10010135	1	gun_tag-20010135	1
10136	gun_tag-10010136	1	gun_tag-20010136	1
10137	gun_tag-10010137	1	gun_tag-20010137	1
10138	gun_tag-10010138	1	gun_tag-20010138	1
10139	gun_tag-10010139	1	gun_tag-20010139	1
