id,mission_id,description,scripts,campaign,bgm,title,is_util,start,round,point,first,mid,end,fail,step_start_story,step_end_story
1,1,story_util-10000001,0-1-1|0-1-2,0,BGM_Frontline,story_util-20000001,1,0-1-1,,,0-1-2,,0-1-2,,,
2,2,story_util-10000002,0-2-1|0-2-2,0,BGM_Frontline,story_util-20000002,1,0-2-1,,,0-2-2,,0-2-2,,,
3,3,story_util-10000003,0-3-1|0-3-2,0,BGM_Frontline,story_util-20000003,1,0-3-1,,,0-3-2,,0-3-2,,,
4,4,story_util-10000004,0-4-1|0-4-2,0,BGM_Frontline,story_util-20000004,1,0-4-1,,,0-4-2,,0-4-2,,,
5,5,story_util-10000005,1-1-1|1-1-2,1,BGM_Frontline,story_util-20000005,1,1-1-1,,,1-1-2,,1-1-2,,,
6,6,story_util-10000006,1-2-1|1-2-2,1,BGM_Frontline,story_util-20000006,1,1-2-1,,,1-2-2,,1-2-2,,,
7,7,story_util-10000007,1-3-1|1-3-2,1,BGM_Frontline,story_util-20000007,1,1-3-1,,,1-3-2,,1-3-2,,,
8,8,story_util-10000008,1-4-1|1-4-2,1,BGM_Frontline,story_util-20000008,1,1-4-1,,,1-4-2,,1-4-2,,,
9,9,story_util-10000009,1-5-1|1-5-2,1,BGM_Frontline,story_util-20000009,1,1-5-1,,,1-5-2,,1-5-2,,,
10,10,story_util-10000010,1-6-1|1-6-2,1,BGM_Frontline,story_util-20000010,1,1-6-1,,,1-6-2,,1-6-2,,,
11,11,story_util-10000011,1-1-1E|1-1-2E,1,BGM_Frontline,story_util-20000011,1,1-1-1E,,,1-1-2E,,1-1-2E,,,
12,12,story_util-10000012,1-2-1E|1-2-2E,1,BGM_Frontline,story_util-20000012,1,1-2-1E,,,1-2-2E,,1-2-2E,,,
13,13,story_util-10000013,1-3-1E|1-3-2E,1,BGM_Frontline,story_util-20000013,1,1-3-1E,,,1-3-2E,,1-3-2E,,,
14,14,story_util-10000014,1-4-1E|1-4-2E,1,BGM_Frontline,story_util-20000014,1,1-4-1E,,,1-4-2E,,1-4-2E,,,
15,90001,story_util-10000015,1-1-1N|1-1-2N,1,BGM_Frontline,story_util-20000015,1,1-1-1N,,,1-1-2N,,1-1-2N,,,
16,90002,story_util-10000016,1-2-1N|1-2-2N,1,BGM_Frontline,story_util-20000016,1,1-2-1N,,,1-2-2N,,1-2-2N,,,
17,90003,story_util-10000017,1-3-1N|1-3-2N,1,BGM_Frontline,story_util-20000017,1,1-3-1N,,,1-3-2N,,1-3-2N,,,
18,90004,story_util-10000018,1-4-1N|1-4-2N,1,BGM_Frontline,story_util-20000018,1,1-4-1N,,,1-4-2N,,1-4-2N,,,
19,15,story_util-10000019,2-1-1|2-1-2,2,BGM_Frontline,story_util-20000019,1,2-1-1,,,2-1-2,,2-1-2,,,
20,16,story_util-10000020,2-2-1|2-2-2,2,BGM_Frontline,story_util-20000020,1,2-2-1,,,2-2-2,,2-2-2,,,
21,17,story_util-10000021,2-3-1|2-3-2,2,BGM_Frontline,story_util-20000021,1,2-3-1,,,2-3-2,,2-3-2,,,
22,18,story_util-10000022,2-4-1|2-4-2,2,BGM_Frontline,story_util-20000022,1,2-4-1,,,2-4-2,,2-4-2,,,
23,19,story_util-10000023,2-5-1|2-5-2,2,BGM_Frontline,story_util-20000023,1,2-5-1,,,2-5-2,,2-5-2,,,
24,20,story_util-10000024,2-6-1|2-6-2,2,BGM_Frontline,story_util-20000024,1,2-6-1,,,2-6-2,,2-6-2,,,
25,21,story_util-10000025,2-1-1E|2-1-2E,2,BGM_Frontline,story_util-20000025,1,2-1-1E,,,2-1-2E,,2-1-2E,,,
26,22,story_util-10000026,2-2-1E|2-2-2E,2,BGM_Frontline,story_util-20000026,1,2-2-1E,,,2-2-2E,,2-2-2E,,,
27,23,story_util-10000027,2-3-1E|2-3-2E,2,BGM_Frontline,story_util-20000027,1,2-3-1E,,,2-3-2E,,2-3-2E,,,
28,24,story_util-10000028,2-4-1E|2-4-2E,2,BGM_Frontline,story_util-20000028,1,2-4-1E,,,2-4-2E,,2-4-2E,,,
29,90005,story_util-10000029,2-1-1N|2-1-2N,2,BGM_Frontline,story_util-20000029,1,2-1-1N,,,2-1-2N,,2-1-2N,,,
30,90006,story_util-10000030,2-2-1N|2-2-2N,2,BGM_Frontline,story_util-20000030,1,2-2-1N,,,2-2-2N,,2-2-2N,,,
31,90007,story_util-10000031,2-3-1N|2-3-2N,2,BGM_Frontline,story_util-20000031,1,2-3-1N,,,2-3-2N,,2-3-2N,,,
