id,type,arg,code,item_name,introduction,rank,sort,initial_num,daily_limit,upper_limit,consume_type,item_access,detail_introduction
1,1,1,IOP_Contract,item-10000001,item-20000001,1,2,,,0,0,"1,4,5,3",item-30000001
2,1,2,EQUIP_Contract,item-10000002,item-20000002,1,3,,,0,0,"1,4,5,3",item-30000002
3,1,3,Quick_Develop,item-10000003,item-20000003,1,4,,,0,0,"1,4,5,3",item-30000003
4,1,4,Quick_Reinforce,item-10000004,item-20000004,1,5,,,0,0,"1,4,5,3",item-30000004
5,1,5,Daily_Pause,item-10000005,item-20000005,1,0,,,0,0,,item-30000005
6,1,6,Auto_Battle,item-10000006,item-20000006,1,0,,,0,0,,item-30000006
7,1,7,Ring,item-10000007,item-20000007,1,1,,,0,0,1,item-30000007
8,1,8,Quick_Training,item-10000008,item-20000008,1,6,,,0,0,"1,3",item-30000008
9,1,9,Capsule,item-10000009,item-20000009,1,7,,,0,0,6,item-30000009
10,2,1,Core,item-10000010,item-20000010,1,8,,,0,0,"7,5,6,3",item-30000010
11,1,1,cost_raffle_ticket,item-10000011,item-20000011,1,0,,,0,0,,item-30000011
12,1,1,Integral_ticket,item-10000012,item-20000012,1,0,,,0,0,,item-30000012
13,1,1,Rename_card,item-10000013,item-20000013,1,-39,,,0,0,2,item-30000013
14,1,1,primary_data_unit,item-10000014,item-20000014,1,19,,,0,0,"8,5",item-30000014
15,1,1,advanced_data_unit,item-10000015,item-20000015,1,20,,,0,0,"8,5",item-30000015
16,1,1,Quick_Analysis,item-10000016,item-20000016,1,21,,,0,0,"1,5,2",item-30000016
17,1,1,Data_Patch,item-10000017,item-20000017,1,22,,,0,0,"9,10",item-30000017
31,2,2,Train_Coin1,item-10000031,item-20000031,1,9,,,9999,0,12,item-30000031
32,2,3,Train_Coin2,item-10000032,item-20000032,1,10,,,9999,0,12,item-30000032
33,2,4,Train_Coin3,item-10000033,item-20000033,1,11,,,9999,0,12,item-30000033
41,1,10,Furniture_Coin,item-10000041,item-20000041,1,12,,,300000,0,"1,4,5,2",item-30000041
42,1,11,Exchange_Coin,item-10000042,item-20000042,1,13,,,0,0,11,item-30000042
43,1,12,Skin_Exchange,item-10000043,item-20000043,1,14,,,0,0,11,item-30000043
44,1,13,Voucher,item-10000044,item-20000044,1,15,,,0,0,"13,5",item-30000044
45,1,1,Memory_pieces,item-10000045,item-20000045,1,18,,,9999,0,"14,15",item-30000045
46,1,1,sp_battle_report,item-10000046,item-20000046,1,23,,,0,0,"16,6",item-30000046
47,1,1,TheaterMaterial,item-10000047,item-20000047,1,0,,,0,0,,item-30000047
48,1,1,Train_Coin_box,item-10000048,item-20000048,1,0,,,0,0,,item-30000048
49,1,1,TheaterMaterial,item-10000049,item-20000049,1,0,,,0,0,,item-30000049
50,1,50,Component,item-10000050,item-20000050,1,26,,,0,0,"6,5",item-30000050
51,1,1,Fire_Control_Component,item-10000051,item-20000051,5,26,,,9999,0,6,item-30000051
52,5,1,签到枪容错,item-10000052,item-20000052,5,0,,,0,0,,item-30000052
100,3,1,Medal_QuarterEvent,item-10000100,item-20000100,1,0,,,0,0,,item-30000100
101,3,2,Medal_RankBattle,item-10000101,item-20000101,1,0,,,0,0,,item-30000101
102,3,3,Medal_RankCollection,item-10000102,item-20000102,1,0,,,0,0,,item-30000102
103,3,4,Medal_Challenger,item-10000103,item-20000103,1,0,,,0,0,,item-30000103
104,3,5,Medal_Collaboration,item-10000104,item-20000104,1,0,,,0,0,,item-30000104
105,3,6,Medal_SangvisBattle,item-10000105,item-20000105,1,0,,,0,0,,item-30000105
106,3,7,Medal_Chess,item-10000106,item-20000106,1,0,,,0,0,,item-30000106
301,1,1,CentreDataBGM71,item-10000301,item-20000301,1,0,,,0,0,,item-30000301
302,1,1,CentreDataAGS30,item-10000302,item-20000302,1,0,,,0,0,,item-30000302
303,1,1,CentreData2B14,item-10000303,item-20000303,1,0,,,0,0,,item-30000303
304,1,1,CentreDataM2,item-10000304,item-20000304,1,0,,,0,0,,item-30000304
305,1,1,CentreDataAT4,item-10000305,item-20000305,1,0,,,0,0,,item-30000305
306,1,1,CentreDataQLZ04,item-10000306,item-20000306,1,0,,,0,0,,item-30000306
307,1,1,CentreDataMK153,item-10000307,item-20000307,1,0,,,0,0,,item-30000307
308,1,1,CentreDataPP93,item-10000308,item-20000308,1,0,,,0,0,,item-30000308
501,2,5,Mp,item-10000501,item-20000501,1,0,,,300000,0,,item-30000501
502,2,6,Ammo,item-10000502,item-20000502,1,0,,,300000,0,,item-30000502
503,2,7,Mre,item-10000503,item-20000503,1,0,,,300000,0,,item-30000503
504,2,8,Part,item-10000504,item-20000504,1,0,,,300000,0,,item-30000504
505,2,9,Gem,item-10000505,item-20000505,1,0,,,0,0,,item-30000505
506,1,1,Battery,item-10000506,item-20000506,1,17,,,9999,0,"17,6,5",item-30000506
507,4,1,Exp,item-10000507,item-20000507,1,0,,,0,0,,item-30000507
508,2,12,friend_points,item-10000508,item-20000508,1,16,,,0,0,"17,18,5",item-30000508
509,2,1,FairyCommand,item-10000509,item-20000509,1,0,,,0,0,,item-30000509
510,2,1,BPrevivalpill,item-10000510,item-20000510,1,0,,,0,0,1,item-30000510
511,4,1,Exp,item-10000511,item-20000511,1,0,,,0,0,,item-30000511
512,1,1,sangvis_core1,item-10000512,item-20000512,1,32,,,0,0,7,item-30000512
513,1,1,sangvis_core2,item-10000513,item-20000513,1,33,,,0,0,7,item-30000513
514,1,1,sangvis_advance_item,item-10000514,item-20000514,1,27,,,0,0,"20,19,22",item-30000514
515,1,1,sangvis_skill_coin1,item-10000515,item-20000515,1,28,,,0,0,"20,19,22",item-30000515
516,1,1,sangvis_skill_coin2,item-10000516,item-20000516,1,29,,,0,0,"20,19,22",item-30000516
517,1,1,Special_Equip_Ticket,item-10000517,item-20000517,1,0,,,0,0,,item-30000517
519,1,1,general_data_unit,item-10000519,item-20000519,1,-30,,,0,0,9,item-30000519
520,1,520,Grenade,item-10000520,item-20000520,1,-35,,,0,0,2,item-30000520
521,1,521,Flashbang,item-10000521,item-20000521,1,-36,,,0,0,2,item-30000521
522,1,522,Machine_Gun_Tower,item-10000522,item-20000522,1,-37,,,0,0,2,item-30000522
523,1,1,GK,item-10000523,item-20000523,1,0,,,0,0,,item-30000523
524,1,1,golyatplg_d,item-10000524,item-20000524,1,-38,,,0,0,2,item-30000524
525,1,1,Quick,item-10000525,item-20000525,1,7,,,0,0,"23,5,2",item-30000525
601,1,1,DressUpRandomColoring,item-10000601,item-20000601,1,24,,,0,0,"1,2",item-30000601
602,1,1,DressUpSpecifyColoring,item-10000602,item-20000602,1,25,,,0,0,2,item-30000602
603,1,1,sangvis_material1_coin1,item-10000603,item-20000603,1,0,,,0,1,,item-30000603
