id,code,chip_up_exp,chip_group,level,name,description,cd_type,init_cd,cd,rank,number,skill_target_first,skill_target_second,use_stage,target_select_first,target_select_second,type,is_active,price,sell_price,experience,init_time,fit_gun_type,custom_type,show_ui,log_description,ai_skill,cutin_animation_duration
10101,ChipIcons_01,1,101,1,chess_chip-10010101,chess_chip-20010101,0,0,0,1,8,10101,0,0,5,0,1,0,2,2,1,1,1,,0,chess_chip-30010101,,0.0
10102,ChipIcons_01,0,101,2,chess_chip-10010102,chess_chip-20010102,0,0,0,1,0,10102,0,0,5,0,1,0,0,4,0,0,1,,0,chess_chip-30010102,,0.0
10201,ChipIcons_14,1,102,1,chess_chip-10010201,chess_chip-20010201,0,0,0,1,8,10201,0,0,5,0,1,0,2,2,1,1,1,,0,chess_chip-30010201,,0.0
10202,ChipIcons_14,0,102,2,chess_chip-10010202,chess_chip-20010202,0,0,0,1,0,10202,0,0,5,0,1,0,0,4,0,0,1,,0,chess_chip-30010202,,0.0
10301,ChipIcons_15,1,103,1,chess_chip-10010301,chess_chip-20010301,0,0,0,5,5,10301,0,0,10,0,1,0,5,5,1,5,1,,0,chess_chip-30010301,,0.0
10302,ChipIcons_15,0,103,2,chess_chip-10010302,chess_chip-20010302,0,0,0,5,0,10302,19902,0,10,5,1,0,0,7,1,0,1,,0,chess_chip-30010302,,0.0
10801,ChipIcons_35,1,108,1,chess_chip-10010801,chess_chip-20010801,0,0,0,1,8,10801,0,0,10,0,1,0,2,2,1,1,1,,0,chess_chip-30010801,,0.0
10802,ChipIcons_35,0,108,2,chess_chip-10010802,chess_chip-20010802,0,0,0,1,0,10802,0,0,10,0,1,0,0,4,1,0,1,,0,chess_chip-30010802,,0.0
12501,ChipIcons_50,1,125,1,chess_chip-10012501,chess_chip-20012501,0,0,0,3,7,12501|12503|12504,0,0,5,0,1,0,3,3,1,2,3,,0,chess_chip-30012501,,0.0
12502,ChipIcons_50,0,125,2,chess_chip-10012502,chess_chip-20012502,0,0,0,3,0,12502|12503|12504,0,0,5,0,1,0,0,5,1,0,3,,0,chess_chip-30012502,,0.0
12601,ChipIcons_28,1,126,1,chess_chip-10012601,chess_chip-20012601,0,0,0,1,8,12601|12603|12604,0,0,5,0,1,0,2,2,1,1,3,,0,chess_chip-30012601,,0.0
12602,ChipIcons_28,0,126,2,chess_chip-10012602,chess_chip-20012602,0,0,0,1,0,12602|12603|12604,0,0,5,0,1,0,0,4,1,0,3,,0,chess_chip-30012602,,0.0
13001,ChipIcons_37,1,130,1,chess_chip-10013001,chess_chip-20013001,0,0,0,4,6,13001|1300101|13004,13003,0,5,48,1,0,4,4,1,3,3,,0,chess_chip-30013001,,0.0
13002,ChipIcons_37,0,130,2,chess_chip-10013002,chess_chip-20013002,0,0,0,4,0,13002|1300201|13005,13003,0,5,48,1,0,0,6,1,0,3,,0,chess_chip-30013002,,0.0
13301,ChipIcons_18,1,133,1,chess_chip-10013301,chess_chip-20013301,0,0,0,4,6,1330102|13301|1330101,0,0,38,0,1,0,4,4,1,3,2,2,0,chess_chip-30013301,,0.0
13302,ChipIcons_18,0,133,2,chess_chip-10013302,chess_chip-20013302,0,0,0,4,0,1330102|13302|1330101,0,0,38,0,1,0,0,6,1,0,2,2,0,chess_chip-30013302,,0.0
14001,ChipIcons_20,1,140,1,chess_chip-10014001,chess_chip-20014001,0,0,0,3,7,14001|1400101|14003,0,0,38,0,1,0,3,3,1,2,2,2,0,chess_chip-30014001,,0.0
14002,ChipIcons_20,0,140,2,chess_chip-10014002,chess_chip-20014002,0,0,0,3,0,14002|1400201|14004,0,0,38,0,1,0,0,5,1,0,2,2,0,chess_chip-30014002,,0.0
14301,ChipIcons_21,1,143,1,chess_chip-10014301,chess_chip-20014301,0,0,0,5,5,14301,0,0,38,0,1,0,5,5,1,5,2,,0,chess_chip-30014301,,0.0
14302,ChipIcons_21,0,143,2,chess_chip-10014302,chess_chip-20014302,0,0,0,5,0,14302,19903,0,38,5,1,0,0,7,1,0,2,,0,chess_chip-30014302,,0.0
14601,Item_Icon_1,1,146,1,chess_chip-10014601,chess_chip-20014601,0,0,0,3,8,14601,0,6|11,20,0,1,1,3,3,0,3,,,0,chess_chip-30014601,,0.0
14701,ChipIcons_31,1,147,1,chess_chip-10014701,chess_chip-20014701,0,0,0,1,8,14701,0,0,14,0,1,0,2,2,1,1,0,,0,chess_chip-30014701,,0.0
14702,ChipIcons_31,0,147,2,chess_chip-10014702,chess_chip-20014702,0,0,0,1,0,14702,0,0,14,0,1,0,0,4,1,0,0,,0,chess_chip-30014702,,0.0
14801,ChipIcons_33,1,148,1,chess_chip-10014801,chess_chip-20014801,0,0,0,1,8,14801,0,0,5,0,1,0,2,2,1,1,0,,0,chess_chip-30014801,,0.0
14802,ChipIcons_33,0,148,2,chess_chip-10014802,chess_chip-20014802,0,0,0,1,0,14802,0,0,5,0,1,0,0,4,1,0,0,,0,chess_chip-30014802,,0.0
14901,Item_Icon_3,1,149,1,chess_chip-10014901,chess_chip-20014901,0,0,0,3,8,14901,0,6|11,42,0,1,1,3,3,0,2,,,0,chess_chip-30014901,,0.0
15001,ChipIcons_34,1,150,1,chess_chip-10015001,chess_chip-20015001,0,0,0,4,6,15001,0,0,5,0,1,0,4,4,1,3,0,,0,chess_chip-30015001,,0.0
15002,ChipIcons_34,0,150,2,chess_chip-10015002,chess_chip-20015002,0,0,0,4,0,15002,0,0,5,0,1,0,0,6,1,0,0,,0,chess_chip-30015002,,0.0
15301,ChipIcons_49,1,153,1,chess_chip-10015301,chess_chip-20015301,0,0,0,3,7,15301,0,0,5,0,1,0,3,3,1,2,0,,0,chess_chip-30015301,,0.0
15302,ChipIcons_49,0,153,2,chess_chip-10015302,chess_chip-20015302,0,0,0,3,0,15302,0,0,5,0,1,0,0,5,1,0,0,,0,chess_chip-30015302,,0.0
15401,Item_Icon_2,1,154,1,chess_chip-10015401,chess_chip-20015401,0,0,0,4,4,15401,0,6|11,5,0,1,1,4,4,0,3,,,0,chess_chip-30015401,,0.0
15601,ChipIcons_07,1,156,1,chess_chip-10015601,chess_chip-20015601,0,0,0,3,7,15601|1560101,0,0,14,0,1,0,3,3,1,2,0,,0,chess_chip-30015601,,0.0
15602,ChipIcons_07,0,156,2,chess_chip-10015602,chess_chip-20015602,0,0,0,3,0,15602|1560201,0,0,14,0,1,0,0,5,1,0,0,,0,chess_chip-30015602,,0.0
15801,ChipNewIcons_6,1,158,1,chess_chip-10015801,chess_chip-20015801,0,0,0,4,6,15801|1580101,0,0,5,0,1,0,4,4,1,3,1,,0,chess_chip-30015801,,0.0
15802,ChipNewIcons_6,0,158,2,chess_chip-10015802,chess_chip-20015802,0,0,0,4,0,15802|1580201,0,0,5,0,1,0,0,6,1,0,1,,0,chess_chip-30015802,,0.0
16101,ChipNewIcons_10,1,161,1,chess_chip-10016101,chess_chip-20016101,0,0,0,1,8,16101,0,0,5,0,1,0,2,2,1,1,1,,0,chess_chip-30016101,,0.0
16102,ChipNewIcons_10,0,161,2,chess_chip-10016102,chess_chip-20016102,0,0,0,1,0,16101,16102,0,5,10,1,0,0,4,1,0,1,,0,chess_chip-30016102,,0.0
16501,ChipNewIcons_14,1,165,1,chess_chip-10016501,chess_chip-20016501,0,0,0,4,6,16501,0,0,5,0,1,0,4,4,1,3,1,1,0,chess_chip-30016501,,0.0
16502,ChipNewIcons_14,0,165,2,chess_chip-10016502,chess_chip-20016502,0,0,0,4,0,16502,0,0,5,5,1,0,0,6,1,0,1,,0,chess_chip-30016502,,0.0
16601,ChipNewIcons_15,1,166,1,chess_chip-10016601,chess_chip-20016601,0,0,0,1,8,16601|1660101|1660102,0,0,10,0,1,0,2,2,1,1,1,1,0,chess_chip-30016601,,0.0
16602,ChipNewIcons_15,0,166,2,chess_chip-10016602,chess_chip-20016602,0,0,0,1,0,16602|1660201|1660202,0,0,10,0,1,0,0,4,1,0,1,,0,chess_chip-30016602,,0.0
16701,ChipNewIcons_16,1,167,1,chess_chip-10016701,chess_chip-20016701,0,0,0,3,7,16701|1670101|1670102,0,0,10,0,1,0,3,3,1,2,1,1,0,chess_chip-30016701,,0.0
16702,ChipNewIcons_16,0,167,2,chess_chip-10016702,chess_chip-20016702,0,0,0,3,0,16702|1670201|1670202,0,0,10,0,1,0,0,5,1,0,1,,0,chess_chip-30016702,,0.0
16901,ChipNewIcons_26,1,169,1,chess_chip-10016901,chess_chip-20016901,0,0,0,3,7,16901,0,0,5,0,1,0,3,3,1,2,3,,0,chess_chip-30016901,,0.0
16902,ChipNewIcons_26,0,169,2,chess_chip-10016902,chess_chip-20016902,0,0,0,3,0,16901|16902,0,0,5,0,1,0,0,5,1,0,3,,0,chess_chip-30016902,,0.0
17001,ChipNewIcons_28,1,170,1,chess_chip-10017001,chess_chip-20017001,0,0,0,1,8,17001|1700101,0,0,17,0,1,0,4,4,1,1,3,,0,chess_chip-30017001,,0.0
17002,ChipNewIcons_28,0,170,2,chess_chip-10017002,chess_chip-20017002,0,0,0,1,0,17002|1700201,0,0,17,0,1,0,0,6,1,0,3,,0,chess_chip-30017002,,0.0
17101,ChipNewIcons_29,1,171,1,chess_chip-10017101,chess_chip-20017101,0,0,0,4,6,17101|1710101,0,0,17,0,1,0,4,4,1,3,3,,0,chess_chip-30017101,,0.0
17102,ChipNewIcons_29,0,171,2,chess_chip-10017102,chess_chip-20017102,0,0,0,4,0,17102|1710201,0,0,17,0,1,0,0,6,1,0,3,,0,chess_chip-30017102,,0.0
17201,ChipIcons_26,1,172,1,chess_chip-10017201,chess_chip-20017201,0,0,0,3,7,17201,0,0,5,0,1,0,3,3,1,2,3,,0,chess_chip-30017201,,0.0
17202,ChipIcons_26,0,172,2,chess_chip-10017202,chess_chip-20017202,0,0,0,3,0,17202,0,0,5,0,1,0,0,5,1,0,3,,0,chess_chip-30017202,,0.0
17301,ChipNewIcons_31,1,173,1,chess_chip-10017301,chess_chip-20017301,0,0,0,5,5,17301,0,0,17,0,1,0,5,5,1,5,3,,0,chess_chip-30017301,,0.0
17302,ChipNewIcons_31,0,173,2,chess_chip-10017302,chess_chip-20017302,0,0,0,5,0,17302,19905,0,17,5,1,0,0,7,1,0,3,,0,chess_chip-30017302,,0.0
17501,ChipNewIcons_37,1,175,1,chess_chip-10017501,chess_chip-20017501,0,0,0,3,7,17501|1750101|1750102,0,0,5,0,1,0,3,3,1,2,2,2,0,chess_chip-30017501,,0.0
17502,ChipNewIcons_37,0,175,2,chess_chip-10017502,chess_chip-20017502,0,0,0,3,0,17502|1750201|1750202,0,0,5,0,1,0,0,5,1,0,2,2,0,chess_chip-30017502,,0.0
17601,ChipNewIcons_38,1,176,1,chess_chip-10017601,chess_chip-20017601,0,0,0,1,8,17601,0,0,38,0,1,0,2,2,1,1,2,,0,chess_chip-30017601,,0.0
17602,ChipNewIcons_38,0,176,2,chess_chip-10017602,chess_chip-20017602,0,0,0,1,0,17602,0,0,38,0,1,0,0,4,1,0,2,,0,chess_chip-30017602,,0.0
17701,ChipNewIcons_39,1,177,1,chess_chip-10017701,chess_chip-20017701,0,0,0,3,7,17701|17703|17704,0,0,38,0,1,0,3,3,1,2,2,,0,chess_chip-30017701,,0.0
17702,ChipNewIcons_39,0,177,2,chess_chip-10017702,chess_chip-20017702,0,0,0,3,0,17702|17703|17704,0,0,38,0,1,0,0,5,1,0,2,,0,chess_chip-30017702,,0.0
17801,ChipNewIcons_44,1,178,1,chess_chip-10017801,chess_chip-20017801,0,0,0,3,7,17801,0,0,5,0,1,0,3,3,1,2,2,,0,chess_chip-30017801,,0.0
17802,ChipNewIcons_44,0,178,2,chess_chip-10017802,chess_chip-20017802,0,0,0,3,0,17802,0,0,5,0,1,0,0,5,1,0,2,,0,chess_chip-30017802,,0.0
17901,ChipIcons_38,1,179,1,chess_chip-10017901,chess_chip-20017901,0,0,0,3,7,17901,17903,0,40,5,1,0,3,3,1,2,4,,0,chess_chip-30017901,,0.0
17902,ChipIcons_38,0,179,2,chess_chip-10017902,chess_chip-20017902,0,0,0,3,0,17902,17903,0,40,5,1,0,0,5,1,0,4,,0,chess_chip-30017902,,0.0
18201,ChipNewIcons_53,0,182,1,chess_chip-10018201,chess_chip-20018201,0,0,0,1,2,18201,0,0,5,0,1,0,5,5,1,1,0,,0,chess_chip-30018201,,0.0
18301,ChipNewIcons_54,0,183,1,chess_chip-10018301,chess_chip-20018301,0,0,0,3,2,18301,0,0,5,0,1,0,5,5,1,2,0,,0,chess_chip-30018301,,0.0
18401,ChipNewIcons_55,0,184,1,chess_chip-10018401,chess_chip-20018401,0,0,0,4,2,18401,0,0,5,0,1,0,5,5,1,3,0,,0,chess_chip-30018401,,0.0
18501,ChipNewIcons_56,0,185,1,chess_chip-10018501,chess_chip-20018501,0,0,0,4,2,18501,0,0,5,0,1,0,5,5,1,3,0,,0,chess_chip-30018501,,0.0
18601,ChipNewIcons_57,0,186,1,chess_chip-10018601,chess_chip-20018601,0,0,0,5,2,18602|18601,0,0,5,0,1,0,5,5,1,5,0,,0,chess_chip-30018601,,0.0
18701,ChipNewIcons_61,1,187,1,chess_chip-10018701,chess_chip-20018701,0,0,0,5,5,18701,0,0,5,0,1,0,5,5,1,5,0,,0,chess_chip-30018701,,0.0
18702,ChipNewIcons_61,0,187,2,chess_chip-10018702,chess_chip-20018702,0,0,0,5,0,18702|18701,19906,0,5,5,1,0,0,7,1,0,0,,0,chess_chip-30018702,,0.0
18901,ChipNewIcons_64,1,189,1,chess_chip-10018901,chess_chip-20018901,0,0,0,1,8,18901,0,0,5,0,1,0,2,2,1,1,0,,0,chess_chip-30018901,,0.0
18902,ChipNewIcons_64,0,189,2,chess_chip-10018902,chess_chip-20018902,0,0,0,1,0,18902,0,0,5,0,1,0,0,4,1,0,0,,0,chess_chip-30018902,,0.0
