id,code,icon,name,hp,atk,rate,dodge,armor,piercing,range,speed,shield,skills,skill_dec,drop,bt_tree
4101,breakout_barricade4,breakout_barricade4,breakout_enemy-10004101,3000,60,75,0,0,0,0,0,0,9001,breakout_enemy-20004101,,Tarkov/Units/Enemies/EnemyAI_Block
4102,breakout_barricade5,breakout_barricade5,breakout_enemy-10004102,3000,60,75,0,0,0,0,0,0,9001,breakout_enemy-20004102,,Tarkov/Units/Enemies/EnemyAI_Block
4103,breakout_barricade6,breakout_barricade6,breakout_enemy-10004103,50000,100,100,0,200,0,0,0,0,9001,breakout_enemy-20004103,,Tarkov/Units/Enemies/EnemyAI_BlockB
110101,refugee_hg,refugee_hg,breakout_enemy-10110101,1000,30,90,15,0,0,97,10,0,9001,breakout_enemy-20110101, ,Tarkov/Units/Enemies/EnemyAI_Prototype
110102,refugee_hg,refugee_hg,breakout_enemy-10110102,1000,30,90,15,0,0,95,10,0,9001,breakout_enemy-20110102,11111,Tarkov/Units/Enemies/EnemyAI_Prototype
110103,refugee_hg,refugee_hg,breakout_enemy-10110103,1000,30,90,15,0,0,99,10,0,9001,breakout_enemy-20110103,,Tarkov/Units/Enemies/EnemyAI_Prototype
110104,refugee_hg,refugee_hg,breakout_enemy-10110104,1000,30,90,15,0,0,96,10,0,9001,breakout_enemy-20110104,11111,Tarkov/Units/Enemies/EnemyAI_Prototype
110105,refugee_hg,refugee_hg,breakout_enemy-10110105,1000,30,90,15,0,0,96,10,0,9001,breakout_enemy-20110105,11111,Tarkov/Units/Enemies/EnemyAI_Prototype
110106,refugee_hg,refugee_hg,breakout_enemy-10110106,1000,30,90,15,0,0,100,10,0,9001,breakout_enemy-20110106,11111,Tarkov/Units/Enemies/EnemyAI_Prototype
110201,refugee_smg,refugee_smg,breakout_enemy-10110201,1200,20,100,15,0,0,91,11,0,9001,breakout_enemy-20110201,11211,Tarkov/Units/Enemies/EnemyAI_Prototype
110202,refugee_smg,refugee_smg,breakout_enemy-10110202,1200,20,100,15,0,0,90,11,0,9001,breakout_enemy-20110202,,Tarkov/Units/Enemies/EnemyAI_Prototype
110203,refugee_smg,refugee_smg,breakout_enemy-10110203,1200,20,100,15,0,0,92,11,0,9001,breakout_enemy-20110203,11211,Tarkov/Units/Enemies/EnemyAI_Prototype
110204,refugee_smg,refugee_smg,breakout_enemy-10110204,1200,20,100,15,0,0,86,11,0,9001,breakout_enemy-20110204,,Tarkov/Units/Enemies/EnemyAI_Prototype
110205,refugee_smg,refugee_smg,breakout_enemy-10110205,1200,20,100,15,0,0,87,11,0,9001,breakout_enemy-20110205,11211,Tarkov/Units/Enemies/EnemyAI_Prototype
110206,refugee_smg,refugee_smg,breakout_enemy-10110206,1200,20,100,15,0,0,90,11,0,9001,breakout_enemy-20110206,11211,Tarkov/Units/Enemies/EnemyAI_Prototype
110207,refugee_smg,refugee_smg,breakout_enemy-10110207,1200,20,100,15,0,0,86,11,0,9001,breakout_enemy-20110207,11221,Tarkov/Units/Enemies/EnemyAI_Prototype
110208,refugee_smg,refugee_smg,breakout_enemy-10110208,1200,20,100,15,0,0,89,11,0,9001,breakout_enemy-20110208,11221,Tarkov/Units/Enemies/EnemyAI_Prototype
110209,refugee_smg,refugee_smg,breakout_enemy-10110209,1200,20,100,15,0,0,90,11,0,9001,breakout_enemy-20110209,11221,Tarkov/Units/Enemies/EnemyAI_Prototype
110301,Mobster,Mobster,breakout_enemy-10110301,1000,80,75,0,0,0,103,11,0,9002,breakout_enemy-20110301,,Tarkov/Units/Enemies/EnemyAI_Mobster
110302,Mobster,Mobster,breakout_enemy-10110302,1000,80,75,0,0,0,102,11,0,9002,breakout_enemy-20110302,21011,Tarkov/Units/Enemies/EnemyAI_Mobster
110303,Mobster,Mobster,breakout_enemy-10110303,1000,80,75,0,0,0,102,11,0,9002,breakout_enemy-20110303,21011,Tarkov/Units/Enemies/EnemyAI_Mobster
