id,name,pt_item_id,gift_free,gift_paytounlock,gift_plus,gift_extra,start_time,end_time,skin_id,paid_productid,paid_productid_discount,exp_mallid,discount_itemid,exhibit_bonus,unlock_itemid
-34,BattlePass_34_1.png;BattlePass_34_2.png,10606,1:110001|3:110002|5:110003|6:110004|8:110005|10:110006|12:110007|14:110008|15:110009|17:110010|19:110011|21:110012|23:110013|25:110014|26:110015|28:110016|30:110017|31:110018|33:110019|34:110020|35:110021|36:110022|38:110023|40:110024|42:110025|44:110026|45:110027,1:120001|2:120002|3:120003|4:120004|5:120005|6:120006|7:120007|8:120008|9:120009|10:120010|11:120011|12:120012|13:120013|14:120014|15:120174|16:120016|17:120017|18:120018|19:120019|20:120020|21:120021|22:120022|23:120023|24:120024|25:120175|26:120026|27:120027|28:120028|29:120029|30:120030|31:120031|32:120032|33:120033|34:120034|35:120176|36:120036|37:120037|38:120038|39:120039|40:120040|41:120041|42:120042|43:120043|44:120044|45:120177,130102,130100,2026-01-21,2026-01-27 02:00:00,16230034,en_mica:51409|51410|51411,en_mica:51409|51410|51411,36,160001,130101|130102,140067;140068
-33,BattlePass_33_1.png;BattlePass_33_2.png,10606,1:110001|3:110002|5:110003|6:110004|8:110005|10:110006|12:110007|14:110008|15:110009|17:110010|19:110011|21:110012|23:110013|25:110014|26:110015|28:110016|30:110017|31:110018|33:110019|34:110020|35:110021|36:110022|38:110023|40:110024|42:110025|44:110026|45:110027,1:120001|2:120002|3:120003|4:120004|5:120005|6:120006|7:120007|8:120008|9:120009|10:120010|11:120011|12:120012|13:120013|14:120014|15:120170|16:120016|17:120017|18:120018|19:120019|20:120020|21:120021|22:120022|23:120023|24:120024|25:120171|26:120026|27:120027|28:120028|29:120029|30:120030|31:120031|32:120032|33:120033|34:120034|35:120172|36:120036|37:120037|38:120038|39:120039|40:120040|41:120041|42:120042|43:120043|44:120044|45:120173,130099,130097,2025-12-17,2025-12-23 02:00:00,6530033,en_mica:51399|51400|51401,en_mica:51399|51400|51401,35,160001,130098|130099,140065;140066
-32,BattlePass_32_1.png;BattlePass_32_2.png,10606,1:110001|3:110002|5:110003|6:110004|8:110005|10:110006|12:110007|14:110008|15:110009|17:110010|19:110011|21:110012|23:110013|25:110014|26:110015|28:110016|30:110017|31:110018|33:110019|34:110020|35:110021|36:110022|38:110023|40:110024|42:110025|44:110026|45:110027,1:120001|2:120002|3:120003|4:120004|5:120005|6:120006|7:120007|8:120008|9:120009|10:120010|11:120011|12:120012|13:120013|14:120014|15:120166|16:120016|17:120017|18:120018|19:120019|20:120020|21:120021|22:120022|23:120023|24:120024|25:120167|26:120026|27:120027|28:120028|29:120029|30:120030|31:120031|32:120032|33:120033|34:120034|35:120168|36:120036|37:120037|38:120038|39:120039|40:120040|41:120041|42:120042|43:120043|44:120044|45:120169,130096,130094,2025-11-12,2025-11-18 02:00:00,27830032,en_mica:51389|51390|51391,en_mica:51389|51390|51391,36,160001,130095|130096,140063;140064
-31,BattlePass_31_1.png;BattlePass_31_2.png,10606,1:110001|3:110002|5:110003|6:110004|8:110005|10:110006|12:110007|14:110008|15:110009|17:110010|19:110011|21:110012|23:110013|25:110014|26:110015|28:110016|30:110017|31:110018|33:110019|34:110020|35:110021|36:110022|38:110023|40:110024|42:110025|44:110026|45:110027,1:120001|2:120002|3:120003|4:120004|5:120005|6:120006|7:120007|8:120008|9:120009|10:120010|11:120011|12:120012|13:120013|14:120014|15:120162|16:120016|17:120017|18:120018|19:120019|20:120020|21:120021|22:120022|23:120023|24:120024|25:120163|26:120026|27:120027|28:120028|29:120029|30:120030|31:120031|32:120032|33:120033|34:120034|35:120164|36:120036|37:120037|38:120038|39:120039|40:120040|41:120041|42:120042|43:120043|44:120044|45:120165,130093,130091,2025-09-24,2025-10-14 02:00:00,6130031,en_mica:51377|51378|51379,en_mica:51377|51378|51379,35,160001,130092|130093,140061;140062
-30,BattlePass_30_1.png;BattlePass_30_2.png,10606,1:110001|3:110002|5:110003|6:110004|8:110005|10:110006|12:110007|14:110008|15:110009|17:110010|19:110011|21:110012|23:110013|25:110014|26:110015|28:110016|30:110017|31:110018|33:110019|34:110020|35:110021|36:110022|38:110023|40:110024|42:110025|44:110026|45:110027,1:120001|2:120002|3:120003|4:120004|5:120005|6:120006|7:120007|8:120008|9:120009|10:120010|11:120011|12:120012|13:120013|14:120014|15:120158|16:120016|17:120017|18:120018|19:120019|20:120020|21:120021|22:120022|23:120023|24:120024|25:120159|26:120026|27:120027|28:120028|29:120029|30:120030|31:120031|32:120032|33:120033|34:120034|35:120160|36:120036|37:120037|38:120038|39:120039|40:120040|41:120041|42:120042|43:120043|44:120044|45:120161,130090,130088,2025-09-03,2025-09-09 02:00:00,35030030,en_mica:51354|51355|51356,en_mica:51354|51355|51356,36,160001,130089|130090,140059;140060
-29,BattlePass_29_1.png;BattlePass_29_2.png,10606,1:110001|3:110002|5:110003|6:110004|8:110005|10:110006|12:110007|14:110008|15:110009|17:110010|19:110011|21:110012|23:110013|25:110014|26:110015|28:110016|30:110017|31:110018|33:110019|34:110020|35:110021|36:110022|38:110023|40:110024|42:110025|44:110026|45:110027,1:120001|2:120002|3:120003|4:120004|5:120005|6:120006|7:120007|8:120008|9:120009|10:120010|11:120011|12:120012|13:120013|14:120014|15:120154|16:120016|17:120017|18:120018|19:120019|20:120020|21:120021|22:120022|23:120023|24:120024|25:120155|26:120026|27:120027|28:120028|29:120029|30:120030|31:120031|32:120032|33:120033|34:120034|35:120156|36:120036|37:120037|38:120038|39:120039|40:120040|41:120041|42:120042|43:120043|44:120044|45:120157,130087,130085,2025-07-29,2025-08-05 02:00:00,32330029,en_mica:51343|51344|51345,en_mica:51343|51344|51345,35,160001,130086|130087,140057;140058
-28,BattlePass_28_1.png;BattlePass_28_2.png,10606,1:110001|3:110002|5:110003|6:110004|8:110005|10:110006|12:110007|14:110008|15:110009|17:110010|19:110011|21:110012|23:110013|25:110014|26:110015|28:110016|30:110017|31:110018|33:110019|34:110020|35:110021|36:110022|38:110023|40:110024|42:110025|44:110026|45:110027,1:120001|2:120002|3:120003|4:120004|5:120005|6:120006|7:120007|8:120008|9:120009|10:120010|11:120011|12:120012|13:120013|14:120014|15:120150|16:120016|17:120017|18:120018|19:120019|20:120020|21:120021|22:120022|23:120023|24:120024|25:120151|26:120026|27:120027|28:120028|29:120029|30:120030|31:120031|32:120032|33:120033|34:120034|35:120152|36:120036|37:120037|38:120038|39:120039|40:120040|41:120041|42:120042|43:120043|44:120044|45:120153,130084,130082,2025-06-25,2025-07-01 02:00:00,39330028,en_mica:51333|51334|51335,en_mica:51333|51334|51335,36,160001,130083|130084,140055;140056
-27,BattlePass_27_1.png;BattlePass_27_2.png,10606,1:110001|3:110002|5:110003|6:110004|8:110005|10:110006|12:110007|14:110008|15:110009|17:110010|19:110011|21:110012|23:110013|25:110014|26:110015|28:110016|30:110017|31:110018|33:110019|34:110020|35:110021|36:110022|38:110023|40:110024|42:110025|44:110026|45:110027,1:120001|2:120002|3:120003|4:120004|5:120005|6:120006|7:120007|8:120008|9:120009|10:120010|11:120011|12:120012|13:120013|14:120014|15:120146|16:120016|17:120017|18:120018|19:120019|20:120020|21:120021|22:120022|23:120023|24:120024|25:120147|26:120026|27:120027|28:120028|29:120029|30:120030|31:120031|32:120032|33:120033|34:120034|35:120148|36:120036|37:120037|38:120038|39:120039|40:120040|41:120041|42:120042|43:120043|44:120044|45:120149,130081,130079,2025-05-21,2025-05-27 03:00:00,3730027,en_mica:51317|51318|51319,en_mica:51317|51318|51319,35,160001,130080|130081,140053;140054
-26,BattlePass_26_1.png;BattlePass_26_2.png,10606,1:110001|3:110002|5:110003|6:110004|8:110005|10:110006|12:110007|14:110008|15:110009|17:110010|19:110011|21:110012|23:110013|25:110014|26:110015|28:110016|30:110017|31:110018|33:110019|34:110020|35:110021|36:110022|38:110023|40:110024|42:110025|44:110026|45:110027,1:120001|2:120002|3:120003|4:120004|5:120005|6:120006|7:120007|8:120008|9:120009|10:120010|11:120011|12:120012|13:120013|14:120014|15:120138|16:120016|17:120017|18:120018|19:120019|20:120020|21:120021|22:120022|23:120023|24:120024|25:120139|26:120026|27:120027|28:120028|29:120029|30:120030|31:120031|32:120032|33:120033|34:120034|35:120140|36:120036|37:120037|38:120038|39:120039|40:120040|41:120041|42:120042|43:120043|44:120044|45:120141,130078,130076,2025-04-17,2025-04-22 03:00:00,29530026,en_mica:51302|51303|51304,en_mica:51302|51303|51304,36,160001,130077|130078,140051;140052
-25,BattlePass_25_1.png;BattlePass_25_2.png,10606,1:110001|3:110002|5:110003|6:110004|8:110005|10:110006|12:110007|14:110008|15:110009|17:110010|19:110011|21:110012|23:110013|25:110014|26:110015|28:110016|30:110017|31:110018|33:110019|34:110020|35:110021|36:110022|38:110023|40:110024|42:110025|44:110026|45:110027,1:120001|2:120002|3:120003|4:120004|5:120005|6:120006|7:120007|8:120008|9:120009|10:120010|11:120011|12:120012|13:120013|14:120014|15:120138|16:120016|17:120017|18:120018|19:120019|20:120020|21:120021|22:120022|23:120023|24:120024|25:120139|26:120026|27:120027|28:120028|29:120029|30:120030|31:120031|32:120032|33:120033|34:120034|35:120140|36:120036|37:120037|38:120038|39:120039|40:120040|41:120041|42:120042|43:120043|44:120044|45:120141,130075,130073,2025-01-03,2025-01-07 02:00:00,8530025,en_mica:51274|51275|51276,en_mica:51274|51275|51276,35,160001,130074|130075,140049;140050
