id,reward_gun_pool,equip_s_probability,draw_event_s_id,enemy_leader,if_stay,correction_belong,correction_turn,limit_guns,limit_equips,ai,ai_content,enemy_type_display,use_building,use_building_skill,team_confrontfun_pic,team_confrontfun_des,effect_ext,targettrain_cancollect,fight_type,type_coef,recommended_team_ids,show_lv,show_color,battle_range
-2,,,0,900013,0,,,,,0,,,,,,enemy_team-9999998,0,1,0,,,0,0,
-1,,,0,20005,0,,,,,0,,,,,,enemy_team-9999999,0,1,0,,,0,0,
1,,,0,90001,0,,,,,0,,,,,,enemy_team-10000001,0,0,0,,,0,0,
2,,,0,90001,0,,,45,,0,,,,,,enemy_team-10000002,0,1,0,,,0,0,
3,9|2|5|10|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000003,0,1,0,,8,0,0,
4,9|2|5|10|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000004,0,1,0,,6,0,0,
5,9|2|5|10,,0,20001,0,,,,,0,,,,,,enemy_team-10000005,0,1,0,,6,0,0,
6,9|2|5|10|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000006,0,1,0,,2,0,0,
7,9|2|5|10|92|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000007,0,1,0,,6,0,0,
8,9|2|5|10|92|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000008,0,1,0,,6,0,0,
9,9|2|5|10|92|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000009,0,1,0,,6,0,0,
10,9|2|5|10|92|11,,0,20002,0,,,,,0,,,,,,enemy_team-10000010,0,1,0,,6,0,0,
11,9|2|5|10|90|92|17|25|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000011,0,1,0,,6,0,0,
12,9|2|5|10|90|92|17|25|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000012,0,1,0,,6,0,0,
13,9|2|5|10|90|92|17|25|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000013,0,1,0,,2,0,0,
14,9|2|5|10|90|92|17|25|11|14,,0,20004,0,,,,,0,,,,,,enemy_team-10000014,0,1,0,,6,0,0,
15,9|2|5|10|90|91|92|17|25|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000015,0,1,0,,2,0,0,
16,9|2|5|10|90|91|92|17|25|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000016,0,1,0,,6,0,0,
17,9|2|5|10|90|91|92|17|25|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000017,0,1,0,,6,0,0,
18,9|2|5|10|90|91|92|17|25|3|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000018,0,1,0,,6,0,0,
19,9|2|5|10|90|91|92|17|25|3|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000019,0,1,0,,6,0,0,
20,9|2|5|10|90|91|92|17|25|3|14,,0,20004,0,,,,,0,,,,,,enemy_team-10000020,0,1,0,,8,0,0,
21,9|2|5|10|90|91|92|17|25|93|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000021,0,1,0,,2,0,0,
22,9|2|5|10|90|91|92|17|25|93|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000022,0,1,0,,6,0,0,
23,9|2|5|10|90|91|92|17|25|93|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000023,0,1,0,,8,0,0,
24,9|2|5|10|90|91|92|17|25|93|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000024,0,1,0,,6,0,0,
25,9|2|5|10|90|91|92|17|25|93|11|14|3|12|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000025,0,1,0,,6,0,0,
26,9|2|5|10|90|91|92|17|25|93|11|14|3|12|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000026,0,1,0,,6,0,0,
27,9|2|5|10|90|91|92|17|25|93|11|14|3|12|29|27|15,,6096,90002,0,,,15,,0,,,,,,enemy_team-10000027,0,1,0,,6,0,0,
28,9|2|5|10|90|91|92|17|25|93|11|14|3|12|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000028,0,1,0,,6,0,0,
29,9|2|5|10|90|91|92|17|25|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000029,0,1,0,,6,0,0,
30,9|2|5|10|90|91|92|17|25|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000030,0,1,0,,6,0,0,
31,9|2|5|10|90|91|92|17|25|3|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000031,0,1,0,,8,0,0,
32,9|2|5|10|90|91|92|17|25|3|14,,0,20004,0,,,,,0,,,,,,enemy_team-10000032,0,1,0,,6,0,0,
33,9|2|5|10|90|91|92|17|25|93|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000033,0,1,0,,6,0,0,
34,9|2|5|10|90|91|92|17|25|93|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000034,0,1,0,,8,0,0,
35,9|2|5|10|90|91|92|17|25|93|11|14|3|12|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000035,0,1,0,,6,0,0,
36,9|2|5|10|90|91|92|17|25|93|11|14|3|12|29|27,,0,20004,0,,,,,0,,,,,,enemy_team-10000036,0,1,0,,6,0,0,
37,9|2|5|10|90|91|92|17|25|93|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000037,0,1,0,,6,0,0,
38,9|2|5|10|90|91|92|17|25|93|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000038,0,1,0,,6,0,0,
39,9|2|5|10|90|91|92|17|25|93|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000039,0,1,0,,6,0,0,
40,9|2|5|10|90|91|92|17|25|93|24|71|68|11|14|3|12|29|27|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000040,0,1,0,,6,0,0,
41,9|2|5|10|90|91|92|17|25|93|24|71|68|11|14|3|12|29|27|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000041,0,1,0,,8,0,0,
42,9|2|5|10|90|91|92|17|25|93|24|71|68|11|14|3|12|29|27,,0,20005,0,,,,,0,,,,,,enemy_team-10000042,0,1,0,,6,0,0,
43,9|2|5|10|90|91|92|17|25|93|24|71|68|74|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000043,0,1,0,,6,0,0,
44,9|2|5|10|90|91|92|17|25|93|24|71|68|74|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000044,0,1,0,,8,0,0,
45,9|2|5|10|90|91|92|17|25|93|24|71|68|74|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000045,0,1,0,,6,0,0,
46,9|2|5|10|90|91|92|17|25|93|24|71|68|74|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000046,0,1,0,,6,0,0,
47,9|2|5|10|90|91|92|17|25|93|24|71|68|74|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000047,0,1,0,,8,0,0,
48,9|2|5|10|90|91|92|17|25|93|24|71|68|74|11|14|3|12|29|27|18|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000048,0,1,0,,6,0,0,
49,9|2|5|10|90|91|92|17|25|93|24|71|68|74|11|14|3|12|29|27|18|1|15,,6096,90003,0,,,15,,0,,,,,,enemy_team-10000049,0,1,0,,6,0,0,
50,9|2|5|10|90|91|92|17|25|93|24|71|68|74|11|14|3|12|29|27|18|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000050,0,1,0,,6,0,0,
51,9|2|5|10|90|91|92|17|25|93|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000051,0,1,0,,6,0,0,
52,9|2|5|10|90|91|92|17|25|93|0,,0,20003,0,,,,,0,,,,,,enemy_team-10000052,0,1,0,,6,0,0,
53,9|2|5|10|90|91|92|17|25|93|24|71|68|11|14|3|12|29|27,,0,20003,0,,,,,0,,,,,,enemy_team-10000053,0,1,0,,6,0,0,
54,9|2|5|10|90|91|92|17|25|93|24|71|68|11|14|3|12|29|27|0,,0,20003,0,,,,,0,,,,,,enemy_team-10000054,0,1,0,,6,0,0,
55,9|2|5|10|90|91|92|17|25|93|24|71|68|74|0,,0,20003,0,,,,,0,,,,,,enemy_team-10000055,0,1,0,,6,0,0,
56,9|2|5|10|90|91|92|17|25|93|24|71|68|74|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000056,0,1,0,,6,0,0,
57,9|2|5|10|90|91|92|17|25|93|24|71|68|74|11|14|3|12|29|27|18|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000057,0,1,0,,6,0,0,
58,9|2|5|10|90|91|92|17|25|93|24|71|68|74|11|14|3|12|29|27|18,,0,20004,0,,,,,0,,,,,,enemy_team-10000058,0,1,0,,6,0,0,
59,9|2|5|10|90|91|92|17|25|93|24|71|68|74|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000059,0,1,0,,6,0,0,
60,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|11|14|3|12|6|29|27|18,,0,20004,0,,,,,0,,,,,,enemy_team-10000060,0,1,0,,6,0,0,
61,9|2|5|10|90|91|92|17|25|93|24|71|68|74|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000061,0,1,0,,6,0,0,
62,9|2|5|10|90|91|92|17|25|93|24|71|68|74|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000062,0,1,0,,6,0,0,
63,9|2|5|10|90|91|92|17|25|93|24|71|68|74|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000063,0,1,0,,6,0,0,
64,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|11|14|3|12|29|27|18|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000064,0,1,0,,6,0,0,
65,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|11|14|3|12|29|27|18|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000065,0,1,0,,2,0,0,
66,9|2|5|10|90|91|92|17|25|93|24|71|68|74|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000066,0,1,0,,6,0,0,
67,9|2|5|10|90|91|92|17|25|93|24|21|71|68|74|63|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000067,0,1,0,,6,0,0,
68,9|2|5|10|90|91|92|17|25|93|24|21|71|68|74|63|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000068,0,1,0,,6,0,0,
69,9|2|5|10|90|91|92|17|25|93|24|21|71|68|74|63|11|12|18|32|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000069,0,1,0,,2,0,0,
70,9|2|5|10|90|91|92|17|25|93|24|21|71|68|74|63|11|12|18|32|58|61,,0,20005,0,,,,,0,,,,,,enemy_team-10000070,0,1,0,,2,0,0,
71,9|2|5|10|90|91|92|17|25|93|24|21|71|68|74|63|11|12|18|32|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000071,0,1,0,,6,0,0,
72,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000072,0,1,0,,2,0,0,
73,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000073,0,1,0,,6,0,0,
74,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|0,,0,20003,0,,,,,0,,,,,,enemy_team-10000074,0,1,0,,1,0,0,
75,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000075,0,1,0,,6,0,0,
76,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|3|14|29|27|18|32|58|61|0,,0,20003,0,,,,,0,,,,,,enemy_team-10000076,0,1,0,,6,0,0,
77,9|2|5|10|90|91|92|17|25|93|24|21|71|68|74|63|51|47|8|22|70|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000077,0,1,0,,6,0,0,
78,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|3|14|29|27|18|32|58|61|8|70,,0,20004,0,,,,,0,,,,,,enemy_team-10000078,0,1,0,,6,0,0,
79,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000079,0,1,0,,6,0,0,
80,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000080,0,1,0,,6,0,0,
81,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|3|14|29|27|18|32|58|61|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000081,0,1,0,,6,0,0,
82,92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|29|27|32|18|58|61|70|19,,6097,90004,1,,,19,,0,,,,,,enemy_team-10000082,0,1,0,,6,0,0,
83,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|3|14|29|27|18|32|58|61|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000083,0,1,0,,6,0,0,
84,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|6|8|22|70|0,,0,20003,0,,,,,0,,,,,,enemy_team-10000084,0,1,0,,1,0,0,
85,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|3|14|29|27|18|32|58|61|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000085,0,1,0,,6,0,0,
86,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000086,0,1,0,,6,0,0,
87,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|3|14|29|27|18|32|58|61|8|70,,0,20005,0,,,,,0,,,,,,enemy_team-10000087,0,1,0,,6,0,0,
88,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000088,0,1,0,,6,0,0,
89,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|3|14|29|27|18|32|58|61|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000089,0,1,0,,6,0,0,
90,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000090,0,1,0,,6,0,0,
91,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|3|14|29|27|18|32|58|61|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000091,0,1,0,,6,0,0,
92,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000092,0,1,0,,6,0,0,
93,9|2|5|10|90|91|92|17|25|93|24|71|68|74|63|51|47|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000093,0,1,0,,6,0,0,
94,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000094,0,1,0,,1,0,0,
95,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000095,0,1,0,,6,0,0,
96,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000096,0,1,0,,6,0,0,
97,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|3|14|29|27|18|32|58|61|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000097,0,1,0,,6,0,0,
98,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|3|14|29|27|18|32|58|61|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000098,0,1,0,,6,0,0,
99,92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|29|27|32|18|58|61|70,,0,20006,0,,,,,0,,,,,,enemy_team-10000099,0,1,0,,6,0,0,
100,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|6|8|22|70|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000100,0,1,0,,6,0,0,
101,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000101,0,1,0,,6,0,0,
102,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|0,,0,20003,0,,,,,0,,,,,,enemy_team-10000102,0,1,0,,1,0,0,
103,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000103,0,1,0,,6,0,0,
104,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|32|18|58|61|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000104,0,1,0,,6,0,0,
