id,type,arguments,extra_language,is_hidden,is_show_count
1,1102,1,mission_win_type_config-10000001,0,1
2,1106,9999,mission_win_type_config-10000002,0,1
3,1305,0,mission_win_type_config-10000003,0,1
4,1102,3,mission_win_type_config-10000004,0,1
5,1310,0,mission_win_type_config-10000005,0,1
6,1404,1,mission_win_type_config-10000006,0,1
7,2302,0,mission_win_type_config-10000007,0,1
8,2403,0,mission_win_type_config-10000008,0,1
9,1405,1,mission_win_type_config-10000009,0,1
1030,1303,7:1,mission_win_type_config-10001030,0,1
1040,1101,111,mission_win_type_config-10001040,0,1
1060,1303,27:1,mission_win_type_config-10001060,0,1
1110,1303,30:1,mission_win_type_config-10001110,0,1
1140,1303,49:1,mission_win_type_config-10001140,0,1
2010,1101,"204,347",mission_win_type_config-10002010,0,1
2030,1106,10,mission_win_type_config-10002030,0,1
2040,1303,71:1,mission_win_type_config-10002040,0,1
2060,1303,82:1,mission_win_type_config-10002060,0,1
2110,1404,2,mission_win_type_config-10002110,0,1
2120,1404,2,mission_win_type_config-10002120,0,1
2140,1404,3,mission_win_type_config-10002140,0,1
2141,1303,115:1,mission_win_type_config-10002141,0,1
3030,1303,124:1,mission_win_type_config-10003030,0,1
3040,1402,4,mission_win_type_config-10003040,0,1
3050,1101,"406,413",mission_win_type_config-10003050,0,1
3060,1303,139:1,mission_win_type_config-10003060,0,1
3061,1303,144:1,mission_win_type_config-10003061,0,1
3120,1405,2,mission_win_type_config-10003120,0,1
3130,1405,2,mission_win_type_config-10003130,0,1
3131,1303,154:1,mission_win_type_config-10003131,0,1
4010,1309,"9040101,505",mission_win_type_config-10004010,0,1
4040,1303,175:1,mission_win_type_config-10004040,0,1
4060,1303,192:1,mission_win_type_config-10004060,0,1
4110,1303,194:3,mission_win_type_config-10004110,0,1
4120,1309,"9040801,639",mission_win_type_config-10004120,0,1
4140,1303,218:1,mission_win_type_config-10004140,0,1
5010,1103,3:4,mission_win_type_config-10005010,0,1
5020,1402,4,mission_win_type_config-10005020,0,1
5021,1103,3:3,mission_win_type_config-10005021,0,1
5030,1103,3:3,mission_win_type_config-10005030,0,1
5040,1404,3,mission_win_type_config-10005040,0,1
5060,1303,377:1,mission_win_type_config-10005060,0,1
5110,1404,2,mission_win_type_config-10005110,0,1
5111,1401,6,mission_win_type_config-10005111,0,1
6020,1309,"9060201,1537",mission_win_type_config-10006020,0,1
6060,1303,641:1,mission_win_type_config-10006060,0,1
6061,1303,640:2,mission_win_type_config-10006061,0,1
6120,1309,"9060801,1682",mission_win_type_config-10006120,0,1
6140,1101,1739,mission_win_type_config-10006140,0,1
6141,1303,664:5,mission_win_type_config-10006141,0,1
7010,1303,754:1,mission_win_type_config-10007010,0,1
7030,1303,765:1,mission_win_type_config-10007030,0,1
7040,1401,2,mission_win_type_config-10007040,0,1
7050,1401,4,mission_win_type_config-10007050,0,1
7051,1303,777:1,mission_win_type_config-10007051,0,1
7060,1303,784:1,mission_win_type_config-10007060,0,1
7061,1301,6,mission_win_type_config-10007061,0,1
7062,1402,7,mission_win_type_config-10007062,0,1
7110,1309,"9070701,2153",mission_win_type_config-10007110,0,1
7120,1309,"9070801,1996",mission_win_type_config-10007120,0,1
7140,1309,"9071001,2016",mission_win_type_config-10007140,0,1
10220,1101,80546,mission_win_type_config-10010220,0,1
10221,1301,3,mission_win_type_config-10010221,0,1
10230,1101,80575,mission_win_type_config-10010230,0,1
10240,1303,2863:1,mission_win_type_config-10010240,0,1
10241,1301,12,mission_win_type_config-10010241,0,1
260900,1404,2,mission_win_type_config-10260900,0,1
260901,1405,1,mission_win_type_config-10260901,0,1
330800,1303,330804:3,mission_win_type_config-10330800,0,1
331000,1101,"80053,80054,80058,80059",mission_win_type_config-10331000,0,1
331010,1401,4,mission_win_type_config-10331010,0,1
331200,2302,2,mission_win_type_config-10331200,0,1
331210,1303,"331201:1,331202:1",mission_win_type_config-10331210,0,1
331400,1106,6,mission_win_type_config-10331400,0,1
331401,1207,"331402:2,331403:2",mission_win_type_config-10331401,0,1
331410,1402,5,mission_win_type_config-10331410,0,1
331411,1303,331401:1|331402:1,mission_win_type_config-10331411,0,1
331600,1404,1,mission_win_type_config-10331600,0,1
331601,1401,4,mission_win_type_config-10331601,0,1
331900,1301,5,mission_win_type_config-10331900,0,1
331901,1207,"331905:2,331906:2",mission_win_type_config-10331901,0,1
332100,1209,1:1:14,mission_win_type_config-10332100,0,1
332101,1101,80144,mission_win_type_config-10332101,0,1
332400,1303,332401:1,mission_win_type_config-10332400,0,1
332410,1404,1,mission_win_type_config-10332410,0,1
332800,1303,332805:5,mission_win_type_config-10332800,0,1
333200,1404,1,mission_win_type_config-10333200,0,1
333210,1303,333201:4,mission_win_type_config-10333210,0,1
333211,1208,"333203:2,333204:2,333205:2",mission_win_type_config-10333211,0,1
333400,1303,333401:1,mission_win_type_config-10333400,0,1
333600,2302,0,mission_win_type_config-10333600,0,1
333800,1404,1,mission_win_type_config-10333800,0,1
334100,1405,3,mission_win_type_config-10334100,0,1
334600,1306,"334601:1,334602:1,334603:1",mission_win_type_config-10334600,0,1
334700,1309,"334710,80455",mission_win_type_config-10334700,0,1
334701,1404,2,mission_win_type_config-10334701,0,1
335000,1101,13107,mission_win_type_config-10335000,0,1
335010,1303,"335003:1,335004:1",mission_win_type_config-10335010,0,1
335100,1101,13117,mission_win_type_config-10335100,0,1
335110,1305,999,mission_win_type_config-10335110,0,1
335200,1301,5,mission_win_type_config-10335200,0,1
335210,1101,13144,mission_win_type_config-10335210,0,1
335300,1309,"335301,13174",mission_win_type_config-10335300,0,1
335301,2406,1,mission_win_type_config-10335301,0,1
335310,1401,5,mission_win_type_config-10335310,0,1
335311,1101,"13172,13162,13173,13169,13174",mission_win_type_config-10335311,0,1
335400,1101,13175,mission_win_type_config-10335400,0,1
335401,1205,335403:0,mission_win_type_config-10335401,0,1
335410,1206,335403:0,mission_win_type_config-10335410,0,1
335500,1402,5,mission_win_type_config-10335500,0,1
335501,1205,"335501:0,335502:0",mission_win_type_config-10335501,0,1
335510,1207,335503:4,mission_win_type_config-10335510,0,1
335600,1404,1,mission_win_type_config-10335600,0,1
335610,1207,335603:4,mission_win_type_config-10335610,0,1
335611,1401,5,mission_win_type_config-10335611,0,1
335700,1101,13257,mission_win_type_config-10335700,0,1
335710,1303,335705:1,mission_win_type_config-10335710,0,1
335800,1209,1:1:14,mission_win_type_config-10335800,0,1
335801,1310,0,mission_win_type_config-10335801,0,1
335900,1303,335901:1,mission_win_type_config-10335900,0,1
335910,1404,1,mission_win_type_config-10335910,0,1
