id,name,extra,fit_gun,ai,voice,is_hidden,substitute_voice,dialog,note,explore_tag,gift_position,illustrator_cv,order,class_id
1,skin-10000001,0,8,40001,18,0,,skin-20000001,skin-30000001,3001,"54.2,-115.6",skin-40000001,1,1
2,skin-10000002,0,20,0,18,0,,skin-20000002,skin-30000002,3001,,skin-40000002,1,1
3,skin-10000003,0,26,0,18,0,,skin-20000003,skin-30000003,3001,,skin-40000003,1,1
4,skin-10000004,0,33,0,18,0,,skin-20000004,skin-30000004,3001,"46,-142.3",skin-40000004,1,1
5,skin-10000005,0,36,0,18,0,,skin-20000005,skin-30000005,3001,,skin-40000005,1,1
6,skin-10000006,0,48,0,18,0,,skin-20000006,skin-30000006,3001,,skin-40000006,1,1
7,skin-10000007,0,80,0,18,0,,skin-20000007,skin-30000007,3001,,skin-40000007,1,1
8,skin-10000008,0,99,0,18,0,,skin-20000008,skin-30000008,3001,"112.9,-120.3",skin-40000008,1,1
9,skin-10000009,0,122,40009,18,0,,skin-20000009,skin-30000009,3001,,skin-40000009,1,1
10,skin-10000010,0,50,0,18,0,,skin-20000010,skin-30000010,,,skin-40000010,1,3
11,skin-10000011,0,94,0,18,0,,skin-20000011,skin-30000011,3001,,skin-40000011,1,1
101,skin-10000101,0,32,0,4,0,,skin-20000101,skin-30000101,,"-37.3,-152.4",skin-40000101,2,2
102,skin-10000102,0,75,0,4,0,,skin-20000102,skin-30000102,,,skin-40000102,2,2
103,skin-10000103,0,91,0,4,0,,skin-20000103,skin-30000103,,"-88.7,-122.2",skin-40000103,2,2
104,skin-10000104,0,94,0,4,0,,skin-20000104,skin-30000104,,,skin-40000104,2,3
105,skin-10000105,0,96,0,4,0,,skin-20000105,skin-30000105,,,skin-40000105,2,3
106,skin-10000106,0,80,0,4,0,,skin-20000106,skin-30000106,,,skin-40000106,2,3
201,skin-10000201,0,-1,5001,4,0,,skin-20000201,skin-30000201,,,skin-40000201,0,52
202,skin-10000202,0,-1,5001,4,0,,skin-20000202,skin-30000202,,,skin-40000202,0,52
203,skin-10000203,0,-1,5001,4,0,,skin-20000203,skin-30000203,,,skin-40000203,0,52
204,skin-10000204,0,-1,5001,4,0,,skin-20000204,skin-30000204,,,skin-40000204,0,52
205,skin-10000205,0,-1,5001,4,0,,skin-20000205,skin-30000205,,,skin-40000205,0,52
206,skin-10000206,0,-1,5001,4,0,,skin-20000206,skin-30000206,,,skin-40000206,0,52
207,skin-10000207,0,-1,5001,4,0,,skin-20000207,skin-30000207,,"-23.1,-139.2",skin-40000207,0,52
208,skin-10000208,0,-1,5001,4,0,,skin-20000208,skin-30000208,,,skin-40000208,0,52
209,skin-10000209,0,-1,5002,4,0,,skin-20000209,skin-30000209,,"-83.2,-48.4",skin-40000209,0,52
301,skin-10000301,0,1,0,19,0,,skin-20000301,skin-30000301,3002,,skin-40000301,3,4
