id,type,child_ids,title,title_code,sub_title,tutorial_manual_id,rank
100,1,"101,102,103,104,105",tutorial_guide-10000100,guide_intermediate,tutorial_guide-20000100,0,0
101,2,,tutorial_guide-10000101,,tutorial_guide-20000101,202,5
102,2,,tutorial_guide-10000102,,tutorial_guide-20000102,203,5
103,2,,tutorial_guide-10000103,,tutorial_guide-20000103,204,5
104,2,,tutorial_guide-10000104,,tutorial_guide-20000104,206,4
105,2,,tutorial_guide-10000105,,tutorial_guide-20000105,208,3
200,1,"201,202",tutorial_guide-10000200,guide_basic,tutorial_guide-20000200,0,0
201,2,,tutorial_guide-10000201,,tutorial_guide-20000201,303,5
202,2,,tutorial_guide-10000202,,tutorial_guide-20000202,304,4
300,1,301,tutorial_guide-10000300,guide_advance,tutorial_guide-20000300,0,0
301,2,,tutorial_guide-10000301,,tutorial_guide-20000301,402,5
400,1,"401,402",tutorial_guide-10000400,guide_higher,tutorial_guide-20000400,0,0
401,2,,tutorial_guide-10000401,,tutorial_guide-20000401,212,5
402,2,,tutorial_guide-10000402,,tutorial_guide-20000402,501,5
