id,develop_type,type,name,en_name,content,background,mp,ammo,mre,part,type_rarity,preview,is_produce,produce_mp,produce_ammo,produce_mre,produce_part,produce_preview
1,1,1,recommended_formula-10000001,recommended_formula-20000001,recommended_formula-30000001,hg_bg,130,130,130,30,1:S|2:D,1:1-0|2-0|3-0|5-0|6-0|7-0|8-0|9-0|10-0|11-0|12-0|13-0|14-0|90-0|91-0|96-0|97-0|99-0|100-0|114-0|123-0|126-0|139-0|141-0|168-0|183-0|212-0|233-0|248-0|260-0|269-0|285-0|303-0|310-0|346-0|354-0|375-0|379-0|400-0|2:16-0|17-0|18-0|21-0|22-0|24-0|25-0|26-0|27-0|31-0|32-0|33-0|92-0|93-0|94-0,0,0,0,0,0,
2,1,2,recommended_formula-10000002,recommended_formula-20000002,recommended_formula-30000002,smg_bg,400,400,100,200,2:S|4:D,2:16-0|17-0|18-0|20-0|21-0|22-0|23-0|24-0|25-0|26-0|27-0|29-0|31-0|32-0|33-0|92-0|93-0|94-0|101-0|103-0|104-0|115-0|127-0|135-0|137-0|150-0|213-0|228-0|245-0|286-0|304-0|328-0|336-0|347-0|355-0|363-0|364-0|376-0|380-0|391-0|392-0|401-0|4:58-0|60-0|61-0|63-0|65-0|66-0|68-0|69-0|70-0|71-0|74-0|105-0|107-0|118-0|122-0|133-0|216-0|237-0|262-0|288-0|330-0|338-0|349-0|356-0|365-0|378-0|382-0|390-0|393-0|394-0,0,0,0,0,0,
3,1,3,recommended_formula-10000003,recommended_formula-20000003,recommended_formula-30000003,rf_bg,400,100,400,200,3:S|2:D|4:D,2:16-0|17-0|18-0|21-0|22-0|24-0|25-0|26-0|27-0|31-0|32-0|33-0|92-0|93-0|94-0|3:34-0|36-0|37-0|39-0|40-0|41-0|42-0|43-0|44-0|46-0|47-0|48-0|50-0|51-0|52-0|53-0|95-0|128-0|148-0|184-0|197-0|198-0|235-0|247-0|257-0|261-0|270-0|305-0|312-0|329-0|337-0|348-0|377-0|381-0|388-0|389-0|402-0|403-0|4:58-0|60-0|61-0|63-0|65-0|66-0|68-0|69-0|70-0|71-0|74-0|105-0|107-0|118-0|122-0|133-0|216-0|237-0|262-0|288-0|330-0|338-0|349-0|356-0|365-0|378-0|382-0|390-0|393-0|394-0,0,0,0,0,0,
4,1,4,recommended_formula-10000004,recommended_formula-20000004,recommended_formula-30000004,ar_bg,100,400,400,200,4:S|2:D,2:16-0|17-0|18-0|21-0|22-0|24-0|25-0|26-0|27-0|31-0|32-0|33-0|92-0|93-0|94-0|4:58-0|60-0|61-0|62-0|63-0|64-0|65-0|66-0|68-0|69-0|70-0|71-0|72-0|74-0|105-0|106-0|107-0|118-0|122-0|129-0|130-0|133-0|171-0|172-0|181-0|194-0|196-0|205-0|206-0|214-0|215-0|216-0|236-0|237-0|243-0|262-0|287-0|288-0|290-0|293-0|306-0|313-0|330-0|338-0|349-0|356-0|365-0|378-0|382-0|390-0|393-0|394-0|404-0|405-0,0,0,0,0,0,
5,1,5,recommended_formula-10000005,recommended_formula-20000005,recommended_formula-30000005,mg_bg,800,800,100,400,5:S|2:D|4:D,2:16-0|17-0|18-0|20-0|21-0|22-0|23-0|24-0|25-0|26-0|27-0|29-0|31-0|32-0|33-0|92-0|93-0|94-0|101-0|103-0|104-0|115-0|127-0|135-0|137-0|150-0|213-0|228-0|245-0|286-0|304-0|328-0|336-0|347-0|355-0|363-0|364-0|376-0|380-0|391-0|392-0|401-0|4:58-0|60-0|61-0|63-0|65-0|66-0|68-0|69-0|70-0|71-0|74-0|105-0|107-0|118-0|122-0|133-0|216-0|237-0|262-0|288-0|330-0|338-0|349-0|356-0|365-0|378-0|382-0|390-0|393-0|394-0|5:75-0|77-0|78-0|80-0|81-0|82-0|85-0|86-0|87-0|88-0|89-0|109-0|110-0|111-0|112-0|121-0|125-0|149-0|173-0|185-0|199-0|238-0|263-0|264-0|292-0|307-0|339-0|395-0|396-0|406-0,0,0,0,0,0,
6,1,2|3|4,recommended_formula-10000006,recommended_formula-20000006,recommended_formula-30000006,hybrid_bg,400,400,400,200,2:C|3:C|4:C,2:16-0|17-0|18-0|20-0|21-0|22-0|23-0|24-0|25-0|26-0|27-0|29-0|31-0|32-0|33-0|92-0|93-0|94-0|101-0|103-0|104-0|115-0|127-0|135-0|137-0|150-0|213-0|228-0|245-0|286-0|304-0|328-0|336-0|347-0|355-0|363-0|364-0|376-0|380-0|391-0|392-0|401-0|3:34-0|36-0|37-0|39-0|40-0|41-0|42-0|43-0|44-0|46-0|47-0|48-0|50-0|51-0|52-0|53-0|95-0|128-0|148-0|184-0|197-0|198-0|235-0|247-0|257-0|261-0|270-0|305-0|312-0|329-0|337-0|348-0|377-0|381-0|388-0|389-0|402-0|403-0|4:58-0|60-0|61-0|62-0|63-0|64-0|65-0|66-0|68-0|69-0|70-0|71-0|72-0|74-0|105-0|106-0|107-0|118-0|122-0|129-0|130-0|133-0|171-0|172-0|181-0|194-0|196-0|205-0|206-0|214-0|215-0|216-0|236-0|237-0|243-0|262-0|287-0|288-0|290-0|293-0|306-0|313-0|330-0|338-0|349-0|356-0|365-0|378-0|382-0|390-0|393-0|394-0|404-0|405-0,0,0,0,0,0,
7,2,2,recommended_formula-10000007,recommended_formula-20000007,recommended_formula-30000007,smg_bg,4000,4000,1000,2000,2:S|4:D,2:16-0|18-0|20-0|22-0|23-0|26-0|27-0|28-0|29-0|32-0|101-0|103-0|104-0|115-0|116-0|127-0|135-0|137-0|150-0|178-0|213-0|228-0|245-0|286-0|304-0|328-0|336-0|347-0|355-0|363-0|364-0|376-0|380-0|391-0|392-0|401-0|4:58-0|60-0|61-0|65-0|66-0|69-0|70-0|105-0|118-0|120-0|122-0|216-0|237-0|262-0|288-0|330-0|338-0|349-0|356-0|365-0|378-0|382-0|390-0|393-0|394-0,0,0,0,0,0,
8,2,3,recommended_formula-10000008,recommended_formula-20000008,recommended_formula-30000008,rf_bg,4000,1000,4000,2000,3:S|2:D|4:D,2:16-0|18-0|22-0|26-0|27-0|32-0|116-0|178-0|3:34-0|36-0|37-0|39-0|42-0|43-0|44-0|46-0|48-0|50-0|53-0|95-0|117-0|128-0|145-0|146-0|148-0|180-0|184-0|197-0|198-0|235-0|247-0|257-0|261-0|270-0|305-0|312-0|329-0|337-0|348-0|377-0|381-0|388-0|389-0|402-0|403-0|4:58-0|60-0|61-0|65-0|66-0|69-0|70-0|105-0|118-0|120-0|122-0|216-0|237-0|262-0|288-0|330-0|338-0|349-0|356-0|365-0|378-0|382-0|390-0|393-0|394-0,0,0,0,0,0,
9,2,4,recommended_formula-10000009,recommended_formula-20000009,recommended_formula-30000009,ar_bg,1000,4000,4000,2000,4:S|2:D,2:16-0|18-0|22-0|26-0|27-0|32-0|116-0|178-0|4:58-0|60-0|61-0|62-0|64-0|65-0|66-0|69-0|70-0|72-0|105-0|106-0|118-0|120-0|122-0|129-0|130-0|171-0|172-0|181-0|194-0|196-0|205-0|206-0|214-0|215-0|216-0|236-0|237-0|243-0|262-0|287-0|288-0|290-0|293-0|306-0|313-0|330-0|338-0|349-0|356-0|365-0|378-0|382-0|390-0|393-0|394-0|404-0|405-0,0,0,0,0,0,
10,2,5,recommended_formula-10000010,recommended_formula-20000010,recommended_formula-30000010,mg_bg,8000,8000,1000,4000,5:S|2:D|4:D,2:16-0|18-0|20-0|22-0|23-0|26-0|27-0|28-0|29-0|32-0|101-0|103-0|104-0|115-0|116-0|127-0|135-0|137-0|150-0|178-0|213-0|228-0|245-0|286-0|304-0|328-0|336-0|347-0|355-0|363-0|364-0|376-0|380-0|391-0|392-0|401-0|4:58-0|60-0|61-0|65-0|66-0|69-0|70-0|105-0|118-0|120-0|122-0|216-0|237-0|262-0|288-0|330-0|338-0|349-0|356-0|365-0|378-0|382-0|390-0|393-0|394-0|5:75-0|77-0|78-0|80-0|85-0|86-0|88-0|89-0|109-0|112-0|121-0|125-0|149-0|173-0|185-0|199-0|238-0|263-0|264-0|292-0|307-0|339-0|395-0|396-0|406-0,0,0,0,0,0,
