id	name	code	is_hidden	is_fetter
1	sangvis_charavoice-10000001	_GAIN01_JP	0	0
2	sangvis_charavoice-10000002	_GAIN02_JP	0	0
3	sangvis_charavoice-10000003	_HELLO_JP	0	0
4	sangvis_charavoice-10000004	_FORMATION01_JP	0	0
5	sangvis_charavoice-10000005	_FORMATION02_JP	0	0
6	sangvis_charavoice-10000006	_FORMATION03_JP	0	0
7	sangvis_charavoice-10000007	_FEED01_JP	1	0
8	sangvis_charavoice-10000008	_FEED02_JP	1	0
9	sangvis_charavoice-10000009	_BREAKTHROUGH01_JP	0	0
10	sangvis_charavoice-10000010	_BREAKTHROUGH02_JP	0	0
11	sangvis_charavoice-10000011	_UPGRADE01_JP	0	0
12	sangvis_charavoice-10000012	_UPGRADE02_JP	0	0
13	sangvis_charavoice-10000013	_DIALOGUE01_JP	0	0
14	sangvis_charavoice-10000014	_DIALOGUE02_JP	0	0
15	sangvis_charavoice-10000015	_DIALOGUE03_JP	0	0
16	sangvis_charavoice-10000016	_GOATTACK_JP	0	0
17	sangvis_charavoice-10000017	_MEET_JP	0	0
18	sangvis_charavoice-10000018	_ATTACK_JP	0	0
19	sangvis_charavoice-10000019	_DEFENSE_JP	0	0
20	sangvis_charavoice-10000020	_WIN_JP	0	0
21	sangvis_charavoice-10000021	_RETREAT_JP	0	0
22	sangvis_charavoice-10000022	_DEAD01_JP	0	0
23	sangvis_charavoice-10000023	_DEAD02_JP	0	0
24	sangvis_charavoice-10000024	_SKILL01_JP	0	0
25	sangvis_charavoice-10000025	_SKILL02_JP	0	0
26	sangvis_charavoice-10000026	_SKILL03_JP	0	0
27	sangvis_charavoice-10000027	_FIX_JP	0	0
28	sangvis_charavoice-10000028	_BLACKACTION_JP	1	0
29	sangvis_charavoice-10000029	_SOULCONTRACT_JP	0	0
30	sangvis_charavoice-10000030	_DIALOGUEWEDDING_JP	0	0
31	sangvis_charavoice-10000031	_TITLECALL_JP	0	0
32	sangvis_charavoice-10000032	_PHRASE_JP	0	0
33	sangvis_charavoice-10000033	_MOOD1_JP	0	0
34	sangvis_charavoice-10000034	_MOOD2_JP	0	0
35	sangvis_charavoice-10000035	_LOWMOOD_JP	0	0
36	sangvis_charavoice-10000036	_APPRECIATE_JP	0	0
37	sangvis_charavoice-10000037	_AGREE_JP	0	0
38	sangvis_charavoice-10000038	_ACCEPT_JP	0	0
39	sangvis_charavoice-10000039	_FEELING_JP	0	0
40	sangvis_charavoice-10000040	_TIP_JP	0	0
41	sangvis_charavoice-10000041	_LOADING_JP	0	0
