id,name,description,rank,category,type,pow,hit,dodge,speed,rate,critical_harm_rate,critical_percent,armor_piercing,armor,shield,damage_amplify,damage_reduction,night_view_percent,bullet_number_up,skill_effect_per,skill_effect,slow_down_percent,slow_down_rate,slow_down_time,dot_percent,dot_damage,dot_time,retire_mp,retire_ammo,retire_mre,retire_part,code,develop_duration,company,skill_level_up,fit_guns,equip_introduction,powerup_mp,powerup_ammo,powerup_mre,powerup_part,exclusive_rate,bonus_type,skill,passive_skill,max_level,auto_select_id,equip_group_id
1,equip-10000001,equip-20000001,2,1,1,,,,,,,"5,8",,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,配件_光学瞄准镜_N,300,BM,0,,equip-30000001,0,0,0,0,1,,0,0,0,1001,0
2,equip-10000002,equip-20000002,3,1,1,,,,,,,"9,12",,,,,,,,0,0,0,0,0,0,0,0,2,0,1,0,配件_光学瞄准镜_N,1200,BM,0,,equip-30000002,0.45,0.15,0.3,0.15,1,critical_percent:1000,0,0,10,1001,0
3,equip-10000003,equip-20000003,4,1,1,,,,,,,"13,16",,,,,,,,0,0,0,0,0,0,0,0,3,0,2,1,配件_光学瞄准镜_N,2100,BM,0,,equip-30000003,0.45,0.15,0.3,0.15,1,critical_percent:1000,0,0,10,1001,0
4,equip-10000004,equip-20000004,5,1,1,,,,,,,"17,24",,,,,,,,0,0,0,0,0,0,0,0,4,0,3,2,配件_光学瞄准镜_N,2700,BM,0,,equip-30000004,0.45,0.15,0.3,0.15,1,critical_percent:1000,0,0,10,1001,0
5,equip-10000005,equip-20000005,2,1,2,"1,1","1,1",,,"-1,-1",,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,配件_全息瞄准镜_N,480,EOT,0,,equip-30000005,0,0,0,0,1,,0,0,0,2001,0
6,equip-10000006,equip-20000006,3,1,2,"1,2","2,2",,,"-2,-2",,,,,,,,,,0,0,0,0,0,0,0,0,2,0,1,0,配件_全息瞄准镜_N,1380,EOT,0,,equip-30000006,0.45,0.15,0.3,0.15,1,"pow:500,hit:500",0,0,10,2001,0
7,equip-10000007,equip-20000007,4,1,2,"2,3","3,5",,,"-4,-3",,,,,,,,,,0,0,0,0,0,0,0,0,3,0,2,1,配件_全息瞄准镜_N,2280,EOT,0,,equip-30000007,0.45,0.15,0.3,0.15,1,"pow:400,hit:400",0,0,10,2001,0
8,equip-10000008,equip-20000008,5,1,2,"4,6","6,10",,,"-6,-4",,,,,,,,,,0,0,0,0,0,0,0,0,4,0,3,2,配件_全息瞄准镜_N,2880,EOT,0,,equip-30000008,0.45,0.15,0.3,0.15,1,"pow:400,hit:400",0,0,10,2001,0
9,equip-10000009,equip-20000009,2,1,3,,"2,3",,,"-1,-1",,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,配件_ACOG瞄准镜_N,600,AMP,0,,equip-30000009,0,0,0,0,1,,0,0,0,3001,0
10,equip-10000010,equip-20000010,3,1,3,,"4,6",,,"-2,-1",,,,,,,,,,0,0,0,0,0,0,0,0,2,0,1,0,配件_ACOG瞄准镜_N,1500,AMP,0,,equip-30000010,0.45,0.15,0.3,0.15,1,hit:1000,0,0,10,3001,0
11,equip-10000011,equip-20000011,4,1,3,,"7,10",,,"-3,-1",,,,,,,,,,0,0,0,0,0,0,0,0,3,0,2,1,配件_ACOG瞄准镜_N,2400,AMP,0,,equip-30000011,0.45,0.15,0.3,0.15,1,hit:1000,0,0,10,3001,0
12,equip-10000012,equip-20000012,5,1,3,,"11,15",,,"-4,-1",,,,,,,,,,0,0,0,0,0,0,0,0,4,0,3,2,配件_ACOG瞄准镜_N,3000,AMP,0,,equip-30000012,0.45,0.15,0.3,0.15,1,hit:1000,0,0,10,3001,0
13,equip-10000013,equip-20000013,2,1,4,,,,,,,,,,,,,"51,55",,0,0,0,0,0,0,0,0,1,0,1,0,配件_红外夜视仪_N,540,IOP,0,,equip-30000013,0,0,0,0,1,,0,0,0,4001,0
14,equip-10000014,equip-20000014,3,1,4,,,,,,,,,,,,,"61,70",,0,0,0,0,0,0,0,0,1,0,2,0,配件_红外夜视仪_N,1440,IOP,0,,equip-30000014,0,0,0,0,1,,0,0,0,4001,0
15,equip-10000015,equip-20000015,4,1,4,,,,,,,,,,,,,"76,85",,0,0,0,0,0,0,0,0,2,0,3,1,配件_红外夜视仪_N,2340,IOP,0,,equip-30000015,0,0,0,0,1,,0,0,0,4001,0
16,equip-10000016,equip-20000016,5,1,4,,,,,,,,,,,,,"91,100",,0,0,0,0,0,0,0,0,3,0,4,2,配件_红外夜视仪_N,2940,IOP,0,,equip-30000016,0,0,0,0,1,,0,0,0,4001,0
17,equip-10000017,equip-20000017,2,2,5,,,,,,,,"45,55",,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,弹匣_穿甲弹_N,900,IOP,0,,equip-30000017,0,0,0,0,1,,0,0,0,5001,0
18,equip-10000018,equip-20000018,3,2,5,,,,,,,,"65,75",,,,,,,0,0,0,0,0,0,0,0,0,2,0,1,弹匣_穿甲弹_N,1800,IOP,0,,equip-30000018,0.08,0.5,0.3,0.3,1,armor_piercing:500,0,0,10,5001,0
19,equip-10000019,equip-20000019,4,2,5,,,,,,,,"90,100",,,,,,,0,0,0,0,0,0,0,0,0,3,1,2,弹匣_穿甲弹_N,2700,IOP,0,,equip-30000019,0.08,0.5,0.3,0.3,1,armor_piercing:500,0,0,10,5001,0
20,equip-10000020,equip-20000020,5,2,5,,,,,,,,"110,120",,,,,,,0,0,0,0,0,0,0,0,0,4,2,3,弹匣_穿甲弹_N,3300,IOP,0,,equip-30000020,0.08,0.5,0.3,0.3,1,armor_piercing:500,0,0,10,5001,0
21,equip-10000021,equip-20000021,2,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,21,840,,0,,equip-30000021,0,0,0,0,1,,0,0,0,6001,0
22,equip-10000022,equip-20000022,3,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,0,1,22,1740,,0,,equip-30000022,0,0,0,0,1,,0,0,0,6001,0
23,equip-10000023,equip-20000023,4,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,1,2,23,2640,,0,,equip-30000023,0,0,0,0,1,,0,0,0,6001,0
24,equip-10000024,equip-20000024,5,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,2,3,24,3240,,0,,equip-30000024,0,0,0,0,1,,0,0,0,6001,0
25,equip-10000025,equip-20000025,2,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,25,1020,,0,,equip-30000025,0,0,0,0,1,,0,0,0,6002,0
26,equip-10000026,equip-20000026,3,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,0,1,26,1920,,0,,equip-30000026,0,0,0,0,1,,0,0,0,6002,0
27,equip-10000027,equip-20000027,4,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,1,2,27,2820,,0,,equip-30000027,0,0,0,0,1,,0,0,0,6002,0
28,equip-10000028,equip-20000028,5,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,2,3,28,3420,,0,,equip-30000028,0,0,0,0,1,,0,0,0,6002,0
29,equip-10000029,equip-20000029,2,2,8,"2,2",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,0,0,弹匣_高速弹_N,1080,PMC,0,,equip-30000029,0,0,0,0,1,,0,0,0,8001,0
30,equip-10000030,equip-20000030,3,2,8,"3,4",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,1,0,弹匣_高速弹_N,1980,PMC,0,,equip-30000030,0.15,0.6,0.38,0.23,1,pow:1000,0,0,10,8001,0
31,equip-10000031,equip-20000031,4,2,8,"5,7",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,2,1,弹匣_高速弹_N,2880,PMC,0,,equip-30000031,0.15,0.6,0.38,0.23,1,pow:800,0,0,10,8001,0
32,equip-10000032,equip-20000032,5,2,8,"8,12",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,3,2,弹匣_高速弹_N,3480,PMC,0,,equip-30000032,0.15,0.6,0.38,0.23,1,pow:700,0,0,10,8001,0
33,equip-10000033,equip-20000033,2,3,9,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,33,660,,0,,equip-30000033,0,0,0,0,1,,0,0,0,9001,0
34,equip-10000034,equip-20000034,3,3,9,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,1,0,0,34,1560,,0,,equip-30000034,0,0,0,0,1,,0,0,0,9001,0
35,equip-10000035,equip-20000035,4,3,9,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,2,0,1,35,2460,,0,,equip-30000035,0,0,0,0,1,,0,0,0,9001,0
36,equip-10000036,equip-20000036,5,3,9,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,3,0,2,36,3060,,0,,equip-30000036,0,0,0,0,1,,0,0,0,9001,0
