id,bt_tree
1000,Tarkov/Stages/defeat_check
1001,Tarkov/Stages/allclear
1002,Tarkov/Triggers/EnemyKilledDrop
1003,Tarkov/Triggers/LeaderCheck1
1004,Tarkov/Triggers/LeaderCheck2
1005,Tarkov/Stages/guide_1011
1006,Tarkov/Stages/guide_1012
1007,Tarkov/Stages/guide_1013
1010,Tarkov/Stages/initial_101
1011,Tarkov/Stages/enemy_creation_1011
1012,Tarkov/Stages/enemy_creation_1012
1013,Tarkov/Stages/enemy_creation_1013
1019,Tarkov/Stages/win_check_101
1020,Tarkov/Stages/initial_102
1021,Tarkov/Stages/enemy_creation_1021
1022,Tarkov/Stages/enemy_creation_1022
1023,Tarkov/Stages/enemy_creation_1023
1029,Tarkov/Stages/win_check_102
1030,Tarkov/Stages/initial_103
1031,Tarkov/Stages/enemy_creation_1031
1032,Tarkov/Stages/enemy_creation_1032
1033,Tarkov/Stages/enemy_creation_1033
2010,Tarkov/Stages/initial_201
2011,Tarkov/Stages/enemy_creation_2011
2012,Tarkov/Stages/enemy_creation_2012
2013,Tarkov/Stages/enemy_creation_2013
2020,Tarkov/Stages/initial_202
2021,Tarkov/Stages/enemy_creation_2021
2022,Tarkov/Stages/enemy_creation_2022
2023,Tarkov/Stages/enemy_creation_2023
2029,Tarkov/Stages/win_check_202
2030,Tarkov/Stages/initial_203
2031,Tarkov/Stages/enemy_creation_2031
2032,Tarkov/Stages/enemy_creation_2032
2033,Tarkov/Stages/enemy_creation_2033
2039,Tarkov/Stages/win_check_203
2040,Tarkov/Stages/initial_204
2041,Tarkov/Stages/enemy_creation_2041
2042,Tarkov/Stages/enemy_creation_2042
2043,Tarkov/Stages/enemy_creation_2043
2049,Tarkov/Stages/win_check_204
3010,Tarkov/Stages/initial_301
3011,Tarkov/Stages/enemy_creation_3011
3012,Tarkov/Stages/enemy_creation_3012
3013,Tarkov/Stages/enemy_creation_3013
3019,Tarkov/Stages/win_check_301
3020,Tarkov/Stages/initial_302
3021,Tarkov/Stages/enemy_creation_3021
3022,Tarkov/Stages/enemy_creation_3022
3023,Tarkov/Stages/enemy_creation_3023
3029,Tarkov/Stages/win_check_302
3030,Tarkov/Stages/initial_303
3031,Tarkov/Stages/enemy_creation_3031
3032,Tarkov/Stages/enemy_creation_3032
3033,Tarkov/Stages/enemy_creation_3033
3034,Tarkov/Triggers/UnitKilledMultiLineClear
3039,Tarkov/Stages/win_check_303
3040,Tarkov/Stages/initial_304
3041,Tarkov/Stages/enemy_creation_3041
3042,Tarkov/Stages/enemy_creation_3042
3043,Tarkov/Stages/enemy_creation_3043
3049,Tarkov/Stages/win_check_304
3050,Tarkov/Stages/initial_305
3051,Tarkov/Stages/enemy_creation_3051
3052,Tarkov/Stages/enemy_creation_3052
3053,Tarkov/Stages/enemy_creation_3053
3059,Tarkov/Stages/win_check_305
