id,name,code,description,priority,duration,delay,size,sound,spine,if_starting,relative_position,offset,rotation_offset,is_focus
1,mission_effect_config-10000001,dilei_chuxian,mission_effect_config-20000001,0,1,0,0.8,bb_noel_nachujiguanqiang,0,0,0,"0,0",,0
2,mission_effect_config-10000002,dilei_daiji,mission_effect_config-20000002,0,0,0,0.8,0,0,0,0,"0,0",,0
3,mission_effect_config-10000003,dilei_baoza,mission_effect_config-20000003,0,1,0,0.8,BT_grenade_explode,0,0,0,"0,0",,0
4,mission_effect_config-10000004,BulletMove,mission_effect_config-20000004,0,1,0,1,BT_MissileExplo,0,0,0,"0,0",,0
5,mission_effect_config-10000005,Gsyaojing_buzhi,mission_effect_config-20000005,0,1,0,1,bb_noel_nachujiguanqiang,0,0,0,"0,0",,0
6,mission_effect_config-10000006,GSyaojing_daiji,mission_effect_config-20000006,8,0,0,1,0,0,0,0,"0,0",,0
7,mission_effect_config-10000007,daodanchao,mission_effect_config-20000007,9,0,0,0.6,0,0,0,0,"0,0",,0
8,mission_effect_config-10000008,daodanchao_daiji,mission_effect_config-20000008,7,0,0,0.6,bb_noel_nachujiguanqiang,0,0,0,"0,0",,0
1002,mission_effect_config-10001002,ui_glass,mission_effect_config-20001002,0,2,1,1.5,0,0,1,0,"0,0",,0
1003,mission_effect_config-10001003,dilei_baoza,mission_effect_config-20001003,0,1,1.6,0.8,BT_grenade_explode,0,0,0,"0,0",,0
1004,mission_effect_config-10001004,DJmax_huaban,mission_effect_config-20001004,0,0,0,1,0,0,0,0,"0,0",,0
1005,mission_effect_config-10001005,2019_DH_YJ_xiangrui_1,mission_effect_config-20001005,0,0,0,1,0,0,0,0,"0,0",,0
1006,mission_effect_config-10001006,2019_DH_YJ_xiangrui_3,mission_effect_config-20001006,0,0,0,1,0,0,0,0,"0,0",,0
1007,mission_effect_config-10001007,dzrq_zhengti,mission_effect_config-20001007,0,0,0,1,0,0,0,0,"0,0",,0
1008,mission_effect_config-10001008,chuansong_01xh,mission_effect_config-20001008,0,0,0,0.3,0,0,0,0,"90,30",,0
1009,mission_effect_config-10001009,chuansong_01,mission_effect_config-20001009,0,0,0,0.3,0,0,0,0,"60,0",,0
1010,mission_effect_config-10001010,chuansong_01_02,mission_effect_config-20001010,0,0,0,0.3,0,0,0,0,"60,0",,0
1011,mission_effect_config-10001011,chuansong_02xh,mission_effect_config-20001011,0,0,0,0.3,0,0,0,0,"-180,30",,0
1012,mission_effect_config-10001012,chuansong_02,mission_effect_config-20001012,0,0,0,0.3,0,0,0,0,"-270,0",,0
1013,mission_effect_config-10001013,chuansong_01xh,mission_effect_config-20001013,0,0,0,0.3,0,0,0,0,"90,35",,0
1014,mission_effect_config-10001014,chuansong_02xh,mission_effect_config-20001014,0,0,0,0.3,0,0,0,0,"-130,35",,0
1015,mission_effect_config-10001015,zsd_right,mission_effect_config-20001015,0,0,0,1,0,0,0,0,"0,150",,0
1016,mission_effect_config-10001016,zsd_left,mission_effect_config-20001016,0,0,0,1,0,0,0,0,"0,150",,0
1017,mission_effect_config-10001017,zsd_up,mission_effect_config-20001017,0,0,0,1,0,0,0,0,"-120,0",,0
1018,mission_effect_config-10001018,zsd_down,mission_effect_config-20001018,0,0,0,1,0,0,0,0,"-120,0",,0
1019,mission_effect_config-10001019,hfq_zt,mission_effect_config-20001019,0,0,0,1,0,0,0,0,"0,0",,0
1020,mission_effect_config-10001020,jy_hudie,mission_effect_config-20001020,0,0,0,0.3,0,0,0,0,"0,150",,0
100861,mission_effect_config-10100861,Heli,mission_effect_config-20100861,0,1,0,1,UI_helicopter_loop,1,0,0,"0,0",,0
900001,mission_effect_config-10900001,effectPowerup,mission_effect_config-20900001,0,0,0,1,0,0,0,0,"0,0",,0
900002,mission_effect_config-10900002,effectNoDrop,mission_effect_config-20900002,3,0,0,1,0,0,0,0,"0,0",,0
900003,mission_effect_config-10900003,Mission_gas,mission_effect_config-20900003,9,0,0,1,0,0,0,0,"0,0",,0
1000011,mission_effect_config-11000011,Empty,mission_effect_config-21000011,0,1,0,1,BT_LockGate_Open,0,0,0,"0,0",,0
1000012,mission_effect_config-11000012,Empty,mission_effect_config-21000012,0,1,0,1,BT_LockGate_Close,0,0,0,"0,0",,0
1000013,mission_effect_config-11000013,Empty,mission_effect_config-21000013,0,1,0,1,BT_console_start,0,0,0,"0,0",,0
1000014,mission_effect_config-11000014,Empty,mission_effect_config-21000014,0,1,0,1,BT_ControlStation_Freeze,0,0,0,"0,0",,0
1000015,mission_effect_config-11000015,dilei_baoza,mission_effect_config-21000015,0,1,0,1,BT_RockExplo,0,0,0,"0,0",,0
1000016,mission_effect_config-11000016,EMP,mission_effect_config-21000016,0,3,0,1,map_emp_explo,0,0,0,"0,0",,0
1000017,mission_effect_config-11000017,build_baoza,mission_effect_config-21000017,99,1,0,0.8,BT_grenade_explode,0,0,0,"0,0",,0
1000018,mission_effect_config-11000018,Y(Bmap)_qiaoduan,mission_effect_config-21000018,0,0,0,1,0,0,0,0,"50,55",,0
1000019,mission_effect_config-11000019,Soak,mission_effect_config-21000019,0,0,0,1.5,0,0,0,0,"0,0",,0
1000020,mission_effect_config-11000020,PortableEMP,mission_effect_config-21000020,0,3,0,1,map_emp_explo,0,0,0,"0,0",,0
1000021,mission_effect_config-11000021,dzrq_2Dzhengti01,mission_effect_config-21000021,0,0,0,1,0,0,0,0,"0,0",,0
1000022,mission_effect_config-11000022,dzrq_2Dzhengti02,mission_effect_config-21000022,0,0,0,1,0,0,0,0,"0,0",,0
1000023,mission_effect_config-11000023,dzrq_2Dzhengti03,mission_effect_config-21000023,0,0,0,1,0,0,0,0,"0,0",,0
1000024,mission_effect_config-11000024,bian_sz,mission_effect_config-21000024,0,0,0,1,0,0,0,0,"0,0",,0
1000025,mission_effect_config-11000025,sgd_tuowei,mission_effect_config-21000025,0,1,0.33,1,BT_The_Division_Flash_Bomb,0,0,0,"0,0",,0
1000026,mission_effect_config-11000026,sgd_baozha,mission_effect_config-21000026,0,0,0,1,BT_The_Division_Flash_Bomb_Explosion,0,0,0,"0,0",,0
1000027,mission_effect_config-11000027,sld_tuowei,mission_effect_config-21000027,0,1,0.33,1,BT_The_Division_Grenade,0,0,0,"0,0",,0
1000028,mission_effect_config-11000028,build_baoza,mission_effect_config-21000028,0,0,0,1,BT_The_Division_Grenade_Explosion,0,0,0,"0,0",,0
1000029,mission_effect_config-11000029,Machine_Gun_Tower_Action,mission_effect_config-21000029,0,1,0,1,BT_The_Division_Machine_Gun_Tower,0,0,0,"0,0",,0
1000030,mission_effect_config-11000030,MGT_shouji,mission_effect_config-21000030,0,1,0,1,0,0,0,0,"0,0",,0
1000031,mission_effect_config-11000031,Machine_Gun_Tower_Action,mission_effect_config-21000031,0,0,0.2,1,0,3,0,0,"0,0",,0
1000032,mission_effect_config-11000032,Machine_Gun_Tower_Action,mission_effect_config-21000032,0,1,0,1,BT_The_Division_Machine_Gun_Tower_Shooting,4,0,0,"0,0",,0
1000033,mission_effect_config-11000033,qx_shuzi00,mission_effect_config-21000033,10,1,0,1,,0,0,0,"0,0",,0
1000034,mission_effect_config-11000034,qx_shuzi01,mission_effect_config-21000034,10,1,0,1,,0,0,0,"0,0",,0
1000035,mission_effect_config-11000035,qx_shuzi02,mission_effect_config-21000035,10,1,0,1,,0,0,0,"0,0",,0
1000036,mission_effect_config-11000036,qx_shuzi03,mission_effect_config-21000036,10,1,0,1,,0,0,0,"0,0",,0
1000037,mission_effect_config-11000037,qx_shuzi04,mission_effect_config-21000037,10,1,0,1,,0,0,0,"0,0",,0
1000038,mission_effect_config-11000038,qx_shuzi05,mission_effect_config-21000038,10,1,0,1,,0,0,0,"0,0",,0
1000039,mission_effect_config-11000039,qx_shuzi06,mission_effect_config-21000039,10,1,0,1,,0,0,0,"0,0",,0
1000040,mission_effect_config-11000040,qx_shuzi07,mission_effect_config-21000040,10,1,0,1,,0,0,0,"0,0",,0
1000041,mission_effect_config-11000041,qx_shuzi08,mission_effect_config-21000041,10,1,0,1,,0,0,0,"0,0",,0
1000042,mission_effect_config-11000042,qx_shuzi09,mission_effect_config-21000042,10,1,0,1,,0,0,0,"0,0",,0
1000043,mission_effect_config-11000043,Battlefield_fire,mission_effect_config-21000043,0,1,0,1,BT_squad_howitzer,0,0,0,"0,0",,0
1000044,mission_effect_config-11000044,build_baoza,mission_effect_config-21000044,0,1,0,0.8,BT_grenade_explode,0,0,0,"0,0",,0
1000045,mission_effect_config-11000045,dian_guangzhu,mission_effect_config-21000045,0,1,0,1,,0,0,0,"0,0",,0
1000046,mission_effect_config-11000046,ddl_saomiao,mission_effect_config-21000046,0,5,0,1,SFX_20_Winter_Radar_Scan,0,0,0,"0,0",,0
1000047,mission_effect_config-11000047,sheshi_xian,mission_effect_config-21000047,0,1,0,1,,0,0,0,"0,0",,0
1000048,mission_effect_config-11000048,Empty,mission_effect_config-21000048,0,1,0,1,SFX_20_Winter_Boom,0,0,0,"0,0",,0
1000049,mission_effect_config-11000049,Empty,mission_effect_config-21000049,0,1,0,1,SFX_20_Winter_Buff,0,0,0,"0,0",,0
1000050,mission_effect_config-11000050,Empty,mission_effect_config-21000050,0,1,0,1,SFX_20_Winter_Debuff,0,0,0,"0,0",,0
1000051,mission_effect_config-11000051,Empty,mission_effect_config-21000051,0,1,0.5,1,BT_rotate,0,0,0,"0,0",,0
1000052,mission_effect_config-11000052,golyatlpg_d,mission_effect_config-21000052,0,1,0,1,,0,1,"1000,3000","0,0",,0
1000053,mission_effect_config-11000053,build_baoza,mission_effect_config-21000053,0,0,0,1,BT_The_Division_Grenade_Explosion,0,0,0,"0,0",,0
1000054,mission_effect_config-11000054,skidarrow04,mission_effect_config-21000054,0,1,0,0.5,,0,0,0,"0,0",,0
1000055,mission_effect_config-11000055,skidarrow03,mission_effect_config-21000055,0,1,0,0.5,,0,0,0,"0,0",,0
1000056,mission_effect_config-11000056,skidarrow02,mission_effect_config-21000056,0,1,0,0.5,,0,0,0,"0,0",,0
1000057,mission_effect_config-11000057,skidarrow01,mission_effect_config-21000057,0,1,0,0.5,,0,0,0,"0,0",,0
